Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1524464425264,11209415237495,-0.16280572,2.2888567,9.682152
android.sensor.accelerometer,1524464425284,11209435228120,-0.18195933,2.2888567,9.672575
android.sensor.accelerometer,1524464425304,11209455249995,-0.19153613,2.2888567,9.595961
android.sensor.accelerometer,1524464425324,11209475242183,-0.19153613,2.2697031,9.595961
android.sensor.accelerometer,1524464425344,11209495232808,-0.19153613,2.2888567,9.653421
android.sensor.accelerometer,1524464425364,11209515223433,-0.18195933,2.27928,9.643845
android.sensor.accelerometer,1524464425384,11209535245308,-0.18195933,2.2697031,9.595961
android.sensor.accelerometer,1524464425404,11209555237495,-0.18195933,2.27928,9.662998
android.sensor.accelerometer,1524464425424,11209575228120,-0.20111294,2.2984335,9.643845
android.sensor.accelerometer,1524464425444,11209595249995,-0.19153613,2.2984335,9.615114
android.sensor.accelerometer,1524464425464,11209615240620,-0.12449849,2.2601264,9.605537
android.sensor.accelerometer,1524464425484,11209635231245,-0.18195933,2.2888567,9.605537
android.sensor.accelerometer,1524464425504,11209655221870,-0.17238252,2.2984335,9.586384
android.sensor.accelerometer,1524464425524,11209675243745,-0.1436521,2.27928,9.595961
android.sensor.accelerometer,1524464425544,11209695235933,-0.1340753,2.2984335,9.595961
android.sensor.accelerometer,1524464425564,11209715226558,-0.15322891,2.3175871,9.605537
android.sensor.accelerometer,1524464425584,11209735248433,-0.17238252,2.2984335,9.662998
android.sensor.accelerometer,1524464425604,11209755239058,-0.18195933,2.2888567,9.586384
android.sensor.accelerometer,1524464425624,11209775229683,-0.21068975,2.2984335,9.634268
android.sensor.accelerometer,1524464425644,11209795253120,-0.16280572,2.2888567,9.595961
android.sensor.accelerometer,1524464425664,11209815243745,-0.18195933,2.2888567,9.624691
android.sensor.accelerometer,1524464425684,11209835234370,-0.15322891,2.2601264,9.643845
android.sensor.accelerometer,1524464425704,11209855224995,-0.20111294,2.27928,9.662998
android.sensor.accelerometer,1524464425724,11209875248433,-0.17238252,2.2888567,9.643845
android.sensor.accelerometer,1524464425744,11209895239058,-0.20111294,2.3175871,9.672575
android.sensor.accelerometer,1524464425764,11209915229683,-0.1340753,2.27928,9.653421
android.sensor.accelerometer,1524464425784,11209935251558,-0.15322891,2.2888567,9.615114
android.sensor.accelerometer,1524464425804,11209955242183,-0.17238252,2.2697031,9.586384
android.sensor.accelerometer,1524464425824,11209975232808,-0.22026655,2.2601264,9.624691
android.sensor.accelerometer,1524464425844,11209995224995,-0.22984336,2.2601264,9.701305
android.sensor.accelerometer,1524464425864,11210015246870,-0.18195933,2.2697031,9.710882
android.sensor.accelerometer,1524464425884,11210035237495,-0.12449849,2.2697031,9.653421
android.sensor.accelerometer,1524464425904,11210055228120,-0.17238252,2.27928,9.624691
android.sensor.accelerometer,1524464425924,11210075249995,-0.15322891,2.27928,9.691729
android.sensor.accelerometer,1524464425944,11210095242183,-0.15322891,2.2697031,9.672575
android.sensor.accelerometer,1524464425964,11210115232808,-0.16280572,2.2888567,9.615114
android.sensor.accelerometer,1524464425984,11210135223433,-0.17238252,2.27928,9.56723
android.sensor.accelerometer,1524464426004,11210155245308,-0.18195933,2.2601264,9.643845
android.sensor.accelerometer,1524464426024,11210175237495,-0.15322891,2.2697031,9.682152
android.sensor.accelerometer,1524464426044,11210195228120,-0.1340753,2.2888567,9.643845
android.sensor.accelerometer,1524464426064,11210215249995,-0.17238252,2.2984335,9.653421
android.sensor.accelerometer,1524464426084,11210235240620,-0.19153613,2.2697031,9.720459
android.sensor.accelerometer,1524464426104,11210255231245,-0.19153613,2.2697031,9.749189
android.sensor.accelerometer,1524464426124,11210275221870,-0.16280572,2.2697031,9.624691
android.sensor.accelerometer,1524464426144,11210295245308,-0.16280572,2.2697031,9.605537
android.sensor.accelerometer,1524464426164,11210315235933,-0.17238252,2.2601264,9.634268
android.sensor.accelerometer,1524464426184,11210335226558,-0.18195933,2.2505496,9.634268
android.sensor.accelerometer,1524464426204,11210355248433,-0.18195933,2.2601264,9.701305
android.sensor.accelerometer,1524464426224,11210375239058,-0.19153613,2.2505496,9.662998
android.sensor.accelerometer,1524464426244,11210395229683,-0.17238252,2.2505496,9.662998
android.sensor.accelerometer,1524464426264,11210415253120,-0.1436521,2.2601264,9.682152
android.sensor.accelerometer,1524464426284,11210435243745,-0.16280572,2.2505496,9.662998
android.sensor.accelerometer,1524464426304,11210455234370,-0.15322891,2.2601264,9.624691
android.sensor.accelerometer,1524464426324,11210475224995,-0.15322891,2.2697031,9.701305
android.sensor.accelerometer,1524464426344,11210495248433,-0.11492168,2.2601264,9.643845
