Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1524466014618,12798764552079,8.734048,0.7278373,4.8745947
android.sensor.accelerometer,1524466014633,12798784544266,8.724471,0.51714754,5.0757074
android.sensor.accelerometer,1524466014653,12798804566141,8.676587,0.51714754,5.1140146
android.sensor.accelerometer,1524466014673,12798824556766,8.552089,0.6512229,5.00867
android.sensor.accelerometer,1524466014693,12798844547391,8.542512,0.5554548,4.654328
android.sensor.accelerometer,1524466014713,12798864570829,8.599973,0.61291564,4.462792
android.sensor.accelerometer,1524466014733,12798884561454,8.781932,0.60333884,4.5872903
android.sensor.accelerometer,1524466014753,12798904552079,8.858546,0.51714754,4.7979803
android.sensor.accelerometer,1524466014774,12798924573954,8.734048,0.545878,4.8937483
android.sensor.accelerometer,1524466014794,12798944564579,8.66701,0.641646,4.9320555
android.sensor.accelerometer,1524466014813,12798964555204,8.724471,0.7374141,4.6351743
android.sensor.accelerometer,1524466014833,12798984545829,8.7532015,0.79487497,4.644751
android.sensor.accelerometer,1524466014853,12799004569266,8.944737,0.7757214,5.0278234
android.sensor.accelerometer,1524466014874,12799024559891,9.232041,0.89064306,6.9048777
android.sensor.accelerometer,1524466014893,12799044550516,10.199299,0.7182605,10.7356
android.sensor.accelerometer,1524466014913,12799064573954,10.697293,0.58418524,12.277467
android.sensor.accelerometer,1524466014933,12799084564579,10.314221,-0.30645782,13.924677
android.sensor.accelerometer,1524466014953,12799104555204,10.065224,-0.63206923,16.318878
android.sensor.accelerometer,1524466014973,12799124545829,9.404425,-0.9864111,17.286137
android.sensor.accelerometer,1524466014993,12799144567704,8.101978,-1.9728222,14.805743
android.sensor.accelerometer,1524466015013,12799164558329,6.7803793,-2.777274,11.18571
android.sensor.accelerometer,1524466015033,12799184550516,5.717354,-3.323152,8.1402855
android.sensor.accelerometer,1524466015053,12799204572391,6.3685765,-3.9839516,3.7541082
android.sensor.accelerometer,1524466015073,12799224563016,6.6367273,-3.1890767,0.12449849
android.sensor.accelerometer,1524466015093,12799244553641,6.6079965,-2.336741,-1.8770541
android.sensor.accelerometer,1524466015113,12799264544266,7.0581064,-2.5953147,-2.5474305
android.sensor.accelerometer,1524466015133,12799284567704,7.1347213,-2.6240451,-2.231396
android.sensor.accelerometer,1524466015153,12799304558329,8.073248,-2.9017725,-4.0414124
android.sensor.accelerometer,1524466015173,12799324548954,8.283937,-2.9783869,-7.517793
android.sensor.accelerometer,1524466015193,12799344570829,7.345411,-2.2888567,-10.984597
android.sensor.accelerometer,1524466015213,12799364561454,6.1387334,-3.1507695,-13.9438305
android.sensor.accelerometer,1524466015234,12799384552079,5.0278234,-4.3957543,-18.32043
android.sensor.accelerometer,1524466015253,12799404544266,2.6144683,-4.9703627,-23.434446
android.sensor.accelerometer,1524466015274,12799424566141,1.8195933,-9.3661175,-25.22531
android.sensor.accelerometer,1524466015293,12799444556766,5.7748146,-18.770542,-22.084116
android.sensor.accelerometer,1524466015313,12799464547391,11.856087,-29.017725,-14.882358
android.sensor.accelerometer,1524466015333,12799484570829,17.085024,-34.87873,-8.992621
android.sensor.accelerometer,1524466015353,12799504561454,21.212627,-42.463562,-11.722012
android.sensor.accelerometer,1524466015373,12799524552079,22.907722,-48.065994,-18.004396
android.sensor.accelerometer,1524466015394,12799544573954,27.878084,-59.021862,-16.49126
android.sensor.accelerometer,1524466015413,12799564564579,35.78853,-68.14856,-8.101978
android.sensor.accelerometer,1524466015434,12799584555204,39.38941,-72.67839,-4.6830587
android.sensor.accelerometer,1524466015453,12799604547391,42.50187,-76.26969,-3.6296098
android.sensor.accelerometer,1524466015474,12799624569266,46.03571,-78.347855,-2.4612393
android.sensor.accelerometer,1524466015493,12799644559891,48.650177,-78.39574,2.8538885
android.sensor.accelerometer,1524466015513,12799664550516,47.376465,-78.40532,7.6135616
android.sensor.accelerometer,1524466015533,12799684573954,47.71165,-77.01668,10.496181
android.sensor.accelerometer,1524466015553,12799704564579,47.45308,-71.36636,4.7500963
android.sensor.accelerometer,1524466015573,12799724555204,41.95599,-68.627396,2.4612393
android.sensor.accelerometer,1524466015593,12799744545829,40.078938,-64.77752,6.157887
android.sensor.accelerometer,1524466015613,12799764569266,37.72304,-61.444794,7.4028716
android.sensor.accelerometer,1524466015633,12799784558329,30.10948,-55.2486,4.855441
android.sensor.accelerometer,1524466015653,12799804550516,27.878084,-53.122547,-0.63206923
android.sensor.accelerometer,1524466015673,12799824572391,22.246922,-46.294285,3.5242648
android.sensor.accelerometer,1524466015693,12799844563016,17.985243,-39.149986,9.078813
android.sensor.accelerometer,1524466015713,12799864553641,17.563864,-30.856472,12.421119
android.sensor.accelerometer,1524466015733,12799884545829,17.889475,-26.154259,17.372328
android.sensor.accelerometer,1524466015754,12799904567704,15.380352,-19.000385,17.889475
android.sensor.accelerometer,1524466015773,12799924556766,11.856087,-15.05474,13.330915
android.sensor.accelerometer,1524466015793,12799944548954,9.662998,-12.459426,9.576807
android.sensor.accelerometer,1524466015813,12799964570829,7.785944,-10.457873,10.840945
android.sensor.accelerometer,1524466015833,12799984561454,5.8322754,-9.030929,10.534488
android.sensor.accelerometer,1524466015853,12800004553641,4.606444,-7.795521,8.647857
android.sensor.accelerometer,1524466015874,12800024544266,3.9360676,-7.240066,9.299079
android.sensor.accelerometer,1524466015894,12800044566141,3.5625722,-7.0964136,11.137826
android.sensor.accelerometer,1524466015914,12800064556766,3.6487634,-7.536947,12.382812
android.sensor.accelerometer,1524466015934,12800084548954,3.7253778,-7.517793,13.503298
android.sensor.accelerometer,1524466015954,12800104570829,2.767697,-7.1155677,12.440272
android.sensor.accelerometer,1524466015973,12800124561454,0.7086837,-5.9280434,12.957419
android.sensor.accelerometer,1524466015994,12800144552079,-1.7812861,-5.2002063,13.982138
android.sensor.accelerometer,1524466016013,12800164573954,-3.9456444,-4.7309427,14.393941
android.sensor.accelerometer,1524466016034,12800184566141,-4.6255975,-3.1507695,12.545617
android.sensor.accelerometer,1524466016054,12800204556766,-4.357447,-2.0015526,8.686164
android.sensor.accelerometer,1524466016074,12800224547391,-5.21936,-0.6799533,4.357447
android.sensor.accelerometer,1524466016094,12800244569266,-7.469909,-1.0534488,6.081272
android.sensor.accelerometer,1524466016114,12800264559891,-8.149862,-0.7565677,8.552089
android.sensor.accelerometer,1524466016134,12800284552079,-7.335834,0.48841715,7.9391727
android.sensor.accelerometer,1524466016154,12800304572391,-2.96881,-0.7565677,6.2632318
android.sensor.accelerometer,1524466016173,12800324564579,3.8594532,-2.873042,7.690176
android.sensor.accelerometer,1524466016193,12800344555204,9.375694,-4.1371803,12.583924
android.sensor.accelerometer,1524466016213,12800364545829,10.5440645,-2.3942018,12.727576
android.sensor.accelerometer,1524466016233,12800384569266,8.121132,0.47884035,9.299079
android.sensor.accelerometer,1524466016253,12800404559891,9.002198,1.8483237,9.232041
android.sensor.accelerometer,1524466016273,12800424550516,12.765883,1.5131354,8.197746
android.sensor.accelerometer,1524466016293,12800444572391,12.028469,2.9113493,7.0581064
android.sensor.accelerometer,1524466016313,12800464563016,8.8777,3.6487634,9.509769
android.sensor.accelerometer,1524466016333,12800484553641,8.868123,2.930503,12.583924
android.sensor.accelerometer,1524466016353,12800504545829,9.988609,2.96881,12.11466
android.sensor.accelerometer,1524466016373,12800524567704,9.797073,2.6048915,10.247183
android.sensor.accelerometer,1524466016393,12800544558329,9.404425,2.5761611,11.980585
android.sensor.accelerometer,1524466016413,12800564550516,8.896853,2.3942018,13.905523
android.sensor.accelerometer,1524466016433,12800584570829,5.00867,1.1300632,11.482592
android.sensor.accelerometer,1524466016453,12800604563016,3.4093432,-0.22026655,11.990162
android.sensor.accelerometer,1524466016473,12800624553641,4.309563,-2.9879637,12.401965
android.sensor.accelerometer,1524466016493,12800644544266,2.9017725,-2.9783869,15.073894
android.sensor.accelerometer,1524466016513,12800664566141,2.96881,-2.873042,18.952501
android.sensor.accelerometer,1524466016533,12800684556766,3.016694,-2.2409728,19.144037
android.sensor.accelerometer,1524466016553,12800704547391,2.6431987,-1.5131354,16.883911
android.sensor.accelerometer,1524466016573,12800724570829,3.3901896,-0.6895301,13.618219
android.sensor.accelerometer,1524466016593,12800744561454,3.6104562,0.19153613,9.423578
android.sensor.accelerometer,1524466016613,12800764552079,1.8962077,0.0,12.708423
android.sensor.accelerometer,1524466016633,12800784542704,0.48841715,0.06703765,15.7825775
android.sensor.accelerometer,1524466016653,12800804566141,0.30645782,-0.038307227,12.612655
android.sensor.accelerometer,1524466016673,12800824556766,0.90021986,-0.4405331,12.018892
android.sensor.accelerometer,1524466016693,12800844547391,0.89064306,-0.06703765,12.794614
android.sensor.accelerometer,1524466016713,12800864570829,1.3311762,-0.18195933,10.25676
android.sensor.accelerometer,1524466016733,12800884561454,-0.36391866,2.030283,14.54717
android.sensor.accelerometer,1524466016753,12800904550516,-1.1971009,1.0247183,11.683704
android.sensor.accelerometer,1524466016773,12800924573954,0.02873042,1.0630256,9.605537
android.sensor.accelerometer,1524466016793,12800944564579,0.8619126,1.2449849,9.452309
android.sensor.accelerometer,1524466016813,12800964555204,1.3215994,1.388637,9.672575
