Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1524466014618,12798764552079,0.14453071,-0.15079644,0.16006415
android.sensor.gyroscope,1524466014634,12798784544266,0.1693493,-0.13144074,0.16660912
android.sensor.gyroscope,1524466014654,12798804566141,0.21106267,-0.1126261,0.18352138
android.sensor.gyroscope,1524466014674,12798824556766,0.23343779,-0.09625491,0.1979727
android.sensor.gyroscope,1524466014694,12798844547391,0.25797713,-0.080721475,0.21298252
android.sensor.gyroscope,1524466014714,12798864570829,0.2527935,-0.08480555,0.21788691
android.sensor.gyroscope,1524466014734,12798884561454,0.24488714,-0.08970992,0.21380283
android.sensor.gyroscope,1524466014754,12798904552079,0.25987953,-0.087807514,0.22333233
android.sensor.gyroscope,1524466014774,12798924573954,0.23397884,-0.0943525,0.21734585
android.sensor.gyroscope,1524466014794,12798944564579,0.21816616,-0.10007718,0.21080087
android.sensor.gyroscope,1524466014814,12798964555204,0.18570304,-0.10580186,0.20097466
android.sensor.gyroscope,1524466014834,12798984545829,0.20751965,-0.09761626,0.2061583
android.sensor.gyroscope,1524466014854,12799004569266,0.21188296,-0.08344419,0.1977109
android.sensor.gyroscope,1524466014874,12799024559891,0.2077989,-0.07335619,0.1870644
android.sensor.gyroscope,1524466014894,12799044550516,0.20207421,-0.06489134,0.17779669
android.sensor.gyroscope,1524466014914,12799064573954,0.2822372,0.009267698,0.21978931
android.sensor.gyroscope,1524466014934,12799084564579,0.50750685,0.2546959,0.4036074
android.sensor.gyroscope,1524466014954,12799104555204,0.6700319,0.45078364,0.5391322
android.sensor.gyroscope,1524466014974,12799124545829,0.75457567,0.6184923,0.6531197
android.sensor.gyroscope,1524466014994,12799144567704,0.8224864,0.7714879,0.7567573
android.sensor.gyroscope,1524466015014,12799164558329,0.74748963,0.83065456,0.7933045
android.sensor.gyroscope,1524466015034,12799184550516,0.67957884,0.8227482,0.7788532
android.sensor.gyroscope,1524466015054,12799204572391,0.62121505,0.77366954,0.7409446
android.sensor.gyroscope,1524466015074,12799224563016,0.4873134,0.70603806,0.70139545
android.sensor.gyroscope,1524466015094,12799244553641,0.32833135,0.617672,0.66730917
android.sensor.gyroscope,1524466015114,12799264544266,0.13634512,0.46795768,0.61631066
android.sensor.gyroscope,1524466015134,12799284567704,0.00408407,0.3212453,0.5715953
android.sensor.gyroscope,1524466015154,12799304558329,-0.05126032,0.20943952,0.5443158
android.sensor.gyroscope,1524466015174,12799324548954,-0.19252726,0.036808994,0.47996554
android.sensor.gyroscope,1524466015194,12799344570829,-0.43851396,-0.23125613,0.37196457
android.sensor.gyroscope,1524466015214,12799364561454,-0.66594785,-0.48186794,0.27488935
android.sensor.gyroscope,1524466015234,12799384552079,-1.0212795,-0.7742106,0.17533578
android.sensor.gyroscope,1524466015254,12799404544266,-1.6078845,-1.1360872,0.058904864
android.sensor.gyroscope,1524466015274,12799424566141,-2.4680002,-1.5162548,0.006806784
android.sensor.gyroscope,1524466015294,12799444556766,-3.357577,-1.7682279,0.25497514
android.sensor.gyroscope,1524466015314,12799464547391,-3.8083608,-1.8083181,0.8243888
android.sensor.gyroscope,1524466015334,12799484570829,-3.7246373,-1.6618676,1.4254278
android.sensor.gyroscope,1524466015354,12799504561454,-3.4761896,-1.504247,1.879772
android.sensor.gyroscope,1524466015374,12799524552079,-3.327575,-1.464977,2.2250156
android.sensor.gyroscope,1524466015394,12799544573954,-3.143495,-1.4336134,2.4382772
android.sensor.gyroscope,1524466015414,12799564564579,-2.83616,-1.3201671,2.4960825
android.sensor.gyroscope,1524466015434,12799584555204,-2.5026276,-1.1745368,2.4456427
android.sensor.gyroscope,1524466015454,12799604547391,-2.2162888,-1.03601,2.3411846
android.sensor.gyroscope,1524466015474,12799624569266,-1.9531281,-0.90182906,2.1969333
android.sensor.gyroscope,1524466015494,12799644559891,-1.6943307,-0.76194096,2.0112126
android.sensor.gyroscope,1524466015514,12799664550516,-1.4224434,-0.61877155,1.8257715
android.sensor.gyroscope,1524466015534,12799684573954,-1.1941717,-0.45186573,1.6580628
android.sensor.gyroscope,1524466015554,12799704564579,-1.0218204,-0.26670375,1.5026063
android.sensor.gyroscope,1524466015574,12799724555204,-0.9301907,-0.08670796,1.3668022
android.sensor.gyroscope,1524466015594,12799744545829,-0.84784603,0.08290314,1.2601801
android.sensor.gyroscope,1524466015614,12799764569266,-0.76874775,0.22497293,1.154099
android.sensor.gyroscope,1524466015634,12799784558329,-0.69539154,0.33896038,1.0668325
android.sensor.gyroscope,1524466015654,12799804550516,-0.6479535,0.43577382,0.9994628
android.sensor.gyroscope,1524466015674,12799824572391,-0.5942148,0.51431364,0.93401295
android.sensor.gyroscope,1524466015694,12799844563016,-0.52277845,0.59939843,0.87456703
