Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1524464358107,11142255242183,-4.3382936,8.599973,0.8619126
android.sensor.accelerometer,1524464358127,11142275232808,-3.620033,9.385271,1.283292
android.sensor.accelerometer,1524464358144,11142295224995,-3.7253778,8.686164,0.21068975
android.sensor.accelerometer,1524464358164,11142315246870,-3.8977604,8.973468,0.45010993
android.sensor.accelerometer,1524464358184,11142335237495,-3.9935284,9.097966,0.22984336
android.sensor.accelerometer,1524464358204,11142355228120,-3.6487634,8.8777,-0.32561144
android.sensor.accelerometer,1524464358224,11142375249995,-3.763685,9.279925,-0.10534488
android.sensor.accelerometer,1524464358244,11142395242183,-3.8307228,9.3182335,0.047884032
android.sensor.accelerometer,1524464358264,11142415232808,-3.6487634,9.346964,-0.019153614
android.sensor.accelerometer,1524464358284,11142435223433,-3.763685,9.337387,-0.038307227
android.sensor.accelerometer,1524464358304,11142455245308,-4.10845,9.442732,-0.05746084
android.sensor.accelerometer,1524464358324,11142475235933,-4.261679,9.471462,-0.06703765
android.sensor.accelerometer,1524464358344,11142495228120,-4.213795,9.471462,-0.05746084
android.sensor.accelerometer,1524464358364,11142515249995,-4.10845,9.356541,0.17238252
android.sensor.accelerometer,1524464358384,11142535240620,-4.156334,9.56723,0.6895301
android.sensor.accelerometer,1524464358404,11142555231245,-4.2042184,9.548077,1.0151415
android.sensor.accelerometer,1524464358424,11142575223433,-4.271256,9.471462,0.9864111
android.sensor.accelerometer,1524464358444,11142595243745,-4.1946416,9.021352,0.06703765
android.sensor.accelerometer,1524464358464,11142615235933,-4.960786,9.758766,0.641646
android.sensor.accelerometer,1524464358484,11142635226558,-4.711789,9.3661175,1.6663644
android.sensor.accelerometer,1524464358504,11142655248433,-4.309563,9.452309,1.8195933
android.sensor.accelerometer,1524464358524,11142675240620,-4.050989,9.299079,0.18195933
android.sensor.accelerometer,1524464358544,11142695231245,-3.8115692,8.925584,-0.48841715
android.sensor.accelerometer,1524464358564,11142715253120,-2.327164,9.758766,-0.8523358
android.sensor.accelerometer,1524464358584,11142735243745,-1.934515,10.745177,-2.4899697
android.sensor.accelerometer,1524464358604,11142755234370,-0.61291564,11.33894,-2.9783869
android.sensor.accelerometer,1524464358624,11142775224995,1.4939818,11.549629,-4.663905
android.sensor.accelerometer,1524464358644,11142795248433,2.3654714,12.325351,-5.746084
android.sensor.accelerometer,1524464358664,11142815239058,2.6719291,12.105083,-6.253655
android.sensor.accelerometer,1524464358684,11142835229683,2.6719291,11.597513,-5.9759274
android.sensor.accelerometer,1524464358704,11142855251558,1.3120226,11.013328,-3.514688
android.sensor.accelerometer,1524464358724,11142875242183,0.15322891,10.151415,-2.6240451
android.sensor.accelerometer,1524464358744,11142895232808,-0.90021986,9.548077,-2.96881
android.sensor.accelerometer,1524464358764,11142915224995,-2.3750482,9.021352,-1.6472107
android.sensor.accelerometer,1524464358784,11142935246870,-2.930503,8.925584,-1.0534488
android.sensor.accelerometer,1524464358804,11142955237495,-1.6376339,8.810662,-1.2737153
android.sensor.accelerometer,1524464358824,11142975228120,-0.82360536,8.379706,-0.9576807
android.sensor.accelerometer,1524464358844,11142995249995,-0.33518824,7.038953,2.0111294
android.sensor.accelerometer,1524464358864,11143015242183,-0.19153613,6.0046577,3.2082303
android.sensor.accelerometer,1524464358884,11143035232808,-0.5267244,5.161899,4.6830587
android.sensor.accelerometer,1524464358904,11143055223433,-0.79487497,4.711789,5.401319
android.sensor.accelerometer,1524464358924,11143075245308,-0.91937345,4.2042184,5.0278234
android.sensor.accelerometer,1524464358944,11143095235933,-0.50757074,3.41892,4.7022123
android.sensor.accelerometer,1524464358964,11143115228120,0.038307227,2.1547816,5.48751
android.sensor.accelerometer,1524464358984,11143135249995,0.6703765,0.34476504,6.933608
android.sensor.accelerometer,1524464359004,11143155240620,1.7717092,-2.3080103,6.933608
android.sensor.accelerometer,1524464359024,11143175231245,3.7541082,-5.4683566,7.881712
android.sensor.accelerometer,1524464359044,11143195223433,3.667917,-8.37013,11.520899
android.sensor.accelerometer,1524464359064,11143215245308,4.5394063,-11.463438,16.922218
android.sensor.accelerometer,1524464359084,11143235235933,5.813122,-13.723564,19.88145
android.sensor.accelerometer,1524464359104,11143255226558,5.439626,-14.767436,22.582111
android.sensor.accelerometer,1524464359124,11143275248433,5.803545,-17.324444,21.317972
android.sensor.accelerometer,1524464359144,11143295240620,7.3071036,-18.626888,21.452047
android.sensor.accelerometer,1524464359164,11143315231245,8.456321,-18.703505,22.754494
android.sensor.accelerometer,1524464359184,11143335253120,8.360553,-18.741812,21.547815
android.sensor.accelerometer,1524464359204,11143355243745,8.820239,-18.83758,21.193474
android.sensor.accelerometer,1524464359224,11143375234370,13.081918,-18.92377,21.11686
android.sensor.accelerometer,1524464359244,11143395224995,19.756952,-22.380997,22.649149
android.sensor.accelerometer,1524464359264,11143415248433,28.088774,-27.207708,26.642677
android.sensor.accelerometer,1524464359284,11143435239058,31.478964,-24.315512,27.705702
android.sensor.accelerometer,1524464359304,11143455229683,32.800564,-22.73534,24.74647
android.sensor.accelerometer,1524464359324,11143475251558,27.14067,-23.15672,21.44247
android.sensor.accelerometer,1524464359344,11143495243745,18.176779,-24.938005,14.585477
android.sensor.accelerometer,1524464359364,11143515234370,16.864758,-31.182083,15.667656
android.sensor.accelerometer,1524464359384,11143535224995,20.69548,-41.161114,22.361843
android.sensor.accelerometer,1524464359404,11143555246870,30.4734,-48.784252,2.1164744
android.sensor.accelerometer,1524464359424,11143575237495,43.40209,-47.797844,-19.776106
android.sensor.accelerometer,1524464359444,11143595228120,46.36132,-42.655098,-13.761871
android.sensor.accelerometer,1524464359464,11143615251558,43.58405,-44.33104,-1.8291701
android.sensor.accelerometer,1524464359484,11143635242183,41.400536,-45.394066,2.8443117
android.sensor.accelerometer,1524464359504,11143655232808,49.243942,-36.76536,-8.590396
android.sensor.accelerometer,1524464359524,11143675223433,52.15529,-19.029116,-32.944214
android.sensor.accelerometer,1524464359544,11143695246870,40.145973,-3.4380736,-45.55687
android.sensor.accelerometer,1524464359564,11143715235933,28.94111,-1.1971009,-34.49566
android.sensor.accelerometer,1524464359584,11143735228120,19.230228,-1.8866309,-15.466543
android.sensor.accelerometer,1524464359604,11143755249995,17.592594,-3.572149,-8.312668
android.sensor.accelerometer,1524464359624,11143775240620,18.02355,-1.8483237,-8.2169
android.sensor.accelerometer,1524464359644,11143795231245,19.536686,-0.16280572,-11.061212
android.sensor.accelerometer,1524464359664,11143815223433,18.483236,1.6663644,-15.428236
android.sensor.accelerometer,1524464359684,11143835245308,18.071434,0.81402856,-17.381905
android.sensor.accelerometer,1524464359704,11143855235933,16.577452,2.1452048,-14.087482
android.sensor.accelerometer,1524464359724,11143875226558,14.231135,3.8307228,-11.60709
android.sensor.accelerometer,1524464359744,11143895249995,12.258312,5.9567738,-7.0485296
android.sensor.accelerometer,1524464359764,11143915239058,12.794614,6.129156,-3.4572272
android.sensor.accelerometer,1524464359784,11143935231245,12.53604,6.033388,0.6703765
android.sensor.accelerometer,1524464359804,11143955253120,11.310209,6.3111157,3.763685
android.sensor.accelerometer,1524464359824,11143975243745,9.864111,6.789956,5.0182467
android.sensor.accelerometer,1524464359844,11143995234370,9.222465,6.7803793,3.371036
android.sensor.accelerometer,1524464359864,11144015226558,8.963891,7.872135,3.323152
android.sensor.accelerometer,1524464359884,11144035248433,8.954314,7.5944076,4.213795
android.sensor.accelerometer,1524464359904,11144055239058,8.475474,7.2304893,4.759673
android.sensor.accelerometer,1524464359924,11144075229683,8.839393,6.943185,5.9184666
android.sensor.accelerometer,1524464359944,11144095251558,8.00621,6.4643445,6.8091097
android.sensor.accelerometer,1524464359964,11144115243745,6.6367273,5.9663506,6.3781533
android.sensor.accelerometer,1524464359984,11144135234370,5.631162,6.2345014,5.2768207
android.sensor.accelerometer,1524464360004,11144155224995,5.257667,6.6079965,4.7405195
android.sensor.accelerometer,1524464360024,11144175246870,4.7500963,5.9567738,6.4164605
android.sensor.accelerometer,1524464360044,11144195237495,3.9360676,5.4683566,7.6614456
android.sensor.accelerometer,1524464360064,11144215229683,3.3135753,5.4204726,8.00621
android.sensor.accelerometer,1524464360084,11144235251558,2.9113493,5.209783,7.5465236
android.sensor.accelerometer,1524464360104,11144255242183,3.265691,4.9799395,7.479486
android.sensor.accelerometer,1524464360124,11144275232808,3.5913026,4.3861775,8.542512
android.sensor.accelerometer,1524464360144,11144295223433,2.9975405,4.3287168,9.787497
