Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1524464358107,11142255242183,-0.03626794,0.54023176,-0.25661576
android.sensor.gyroscope,1524464358127,11142275232808,-0.023177972,0.5456772,-0.18270107
android.sensor.gyroscope,1524464358144,11142295224995,-0.023719024,0.5443158,-0.106901415
android.sensor.gyroscope,1524464358164,11142315246870,-0.029443704,0.5394115,-0.03926991
android.sensor.gyroscope,1524464358184,11142335237495,-0.031625368,0.515675,0.004363323
android.sensor.gyroscope,1524464358204,11142355228120,-0.03926991,0.50040334,0.050981067
android.sensor.gyroscope,1524464358225,11142375249995,-0.03817035,0.48677233,0.08916887
android.sensor.gyroscope,1524464358244,11142395242183,-0.037350047,0.47832492,0.12161454
android.sensor.gyroscope,1524464358264,11142415232808,-0.03598869,0.4832293,0.1502554
android.sensor.gyroscope,1524464358284,11142435223433,-0.038711403,0.49549899,0.17425367
android.sensor.gyroscope,1524464358304,11142455245308,-0.03544764,0.52932346,0.19006635
android.sensor.gyroscope,1524464358324,11142475235933,-0.027803095,0.5350481,0.19607028
android.sensor.gyroscope,1524464358345,11142495228120,-0.02453933,0.53232545,0.20369738
android.sensor.gyroscope,1524464358364,11142515249995,-0.018535396,0.52113783,0.20587903
android.sensor.gyroscope,1524464358384,11142535240620,-0.01881465,0.5099503,0.21188296
android.sensor.gyroscope,1524464358404,11142555231245,-0.013351769,0.45895177,0.22197098
android.sensor.gyroscope,1524464358424,11142575223433,-0.013351769,0.4046895,0.2279749
android.sensor.gyroscope,1524464358444,11142595243745,-0.011990412,0.34796628,0.22415264
android.sensor.gyroscope,1524464358465,11142615235933,-0.012531464,0.32014576,0.22361158
android.sensor.gyroscope,1524464358484,11142635226558,-0.0038048178,0.2765125,0.20970131
android.sensor.gyroscope,1524464358504,11142655248433,0.004363323,0.23451988,0.1895253
android.sensor.gyroscope,1524464358524,11142675240620,0.01308997,0.17397442,0.17261307
android.sensor.gyroscope,1524464358544,11142695231245,0.019896753,0.14697418,0.16524777
android.sensor.gyroscope,1524464358564,11142715253120,0.02453933,0.12461651,0.14398967
android.sensor.gyroscope,1524464358585,11142735243745,0.027262043,0.11725122,0.14943509
android.sensor.gyroscope,1524464358604,11142755234370,0.029164452,0.13716543,0.16660912
android.sensor.gyroscope,1524464358624,11142775224995,-0.0021816615,0.6059434,0.29996973
android.sensor.gyroscope,1524464358644,11142795248433,-0.03926991,1.1382688,0.44942227
android.sensor.gyroscope,1524464358664,11142815239058,-0.06380924,1.5086102,0.54349554
android.sensor.gyroscope,1524464358684,11142835229683,-0.05454154,1.6714145,0.56885517
android.sensor.gyroscope,1524464358705,11142855251558,-0.03981096,1.702237,0.5740388
android.sensor.gyroscope,1524464358724,11142875242183,-0.026441738,1.7273175,0.58522636
android.sensor.gyroscope,1524464358744,11142895232808,-0.016632987,1.744509,0.586867
android.sensor.gyroscope,1524464358764,11142915224995,0.0076270886,1.7068622,0.5699547
android.sensor.gyroscope,1524464358784,11142935246870,0.026720991,1.6089667,0.54159313
android.sensor.gyroscope,1524464358804,11142955237495,0.03981096,1.5353312,0.5145929
android.sensor.gyroscope,1524464358825,11142975228120,0.03598869,1.5167959,0.50476664
android.sensor.gyroscope,1524464358844,11142995249995,-0.0054454273,1.6021425,0.4916767
android.sensor.gyroscope,1524464358864,11143015242183,-0.08016297,1.740966,0.47914523
android.sensor.gyroscope,1524464358884,11143035232808,-0.17425367,1.9476652,0.44914302
android.sensor.gyroscope,1524464358904,11143055223433,-0.31524137,2.1742964,0.4338714
android.sensor.gyroscope,1524464358924,11143075245308,-0.46931905,2.4587326,0.42296308
android.sensor.gyroscope,1524464358945,11143095235933,-0.6086836,2.8113415,0.4065919
android.sensor.gyroscope,1524464358964,11143115228120,-0.7406654,3.3242936,0.3872362
android.sensor.gyroscope,1524464358984,11143135249995,-0.8816531,3.9826145,0.39596283
android.sensor.gyroscope,1524464359004,11143155240620,-1.0635513,4.851736,0.42814672
android.sensor.gyroscope,1524464359024,11143175231245,-1.1835426,5.900295,0.5298645
android.sensor.gyroscope,1524464359044,11143195223433,-1.3209873,7.0925817,0.7540346
android.sensor.gyroscope,1524464359065,11143215245308,-1.4764264,8.737817,1.2440882
android.sensor.gyroscope,1524464359084,11143235235933,-1.4101562,10.207174,2.394644
android.sensor.gyroscope,1524464359104,11143255226558,-1.3989861,10.426161,3.9654405
android.sensor.gyroscope,1524464359124,11143275248433,-1.6182344,9.58458,5.528051
android.sensor.gyroscope,1524464359144,11143295240620,-1.9945797,8.249945,6.5978856
android.sensor.gyroscope,1524464359164,11143315231245,-2.351552,6.913127,7.022489
android.sensor.gyroscope,1524464359185,11143335253120,-2.576263,5.7974777,6.9627643
android.sensor.gyroscope,1524464359204,11143355243745,-2.6738968,4.85692,6.6775074
android.sensor.gyroscope,1524464359224,11143375234370,-2.6640706,4.05625,6.2739
