Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1524464034342,10818487610936,6.244078,-0.94810385,7.565677
android.sensor.accelerometer,1524464034356,10818507601561,6.129156,-0.81402856,7.52737
android.sensor.accelerometer,1524464034376,10818527592186,6.0142345,-0.7565677,7.4603324
android.sensor.accelerometer,1524464034396,10818547615624,6.1195793,-0.7374141,7.2113357
android.sensor.accelerometer,1524464034416,10818567606249,6.196194,-0.8714894,7.575254
android.sensor.accelerometer,1524464034436,10818587596874,6.0621185,-0.8714894,7.7093296
android.sensor.accelerometer,1524464034457,10818607618749,5.9280434,-0.8523358,7.6710224
android.sensor.accelerometer,1524464034476,10818627609374,6.2728086,-0.8523358,7.632715
android.sensor.accelerometer,1524464034496,10818647599999,6.7803793,-1.091756,7.5848308
android.sensor.accelerometer,1524464034517,10818667592186,6.8091097,-1.1300632,7.9487495
android.sensor.accelerometer,1524464034537,10818687614061,6.4643445,-1.1875241,8.197746
android.sensor.accelerometer,1524464034557,10818707604686,6.291962,-1.0247183,8.226477
android.sensor.accelerometer,1524464034576,10818727595311,6.981492,-1.4556746,7.8529816
android.sensor.accelerometer,1524464034596,10818747618749,8.523358,-2.0973208,6.7708025
android.sensor.accelerometer,1524464034617,10818767607811,10.620679,-2.3654714,1.6089035
android.sensor.accelerometer,1524464034636,10818787599999,11.051635,-3.1124623,-4.3861775
android.sensor.accelerometer,1524464034656,10818807590624,12.143391,-3.2944214,-5.3247046
android.sensor.accelerometer,1524464034676,10818827612499,14.365211,-5.133168,-4.4819455
android.sensor.accelerometer,1524464034696,10818847603124,18.828003,-5.985504,-3.3327289
android.sensor.accelerometer,1524464034716,10818867595311,24.507048,-7.824251,-3.8402996
android.sensor.accelerometer,1524464034737,10818887617186,28.85492,-9.787497,-4.223372
android.sensor.accelerometer,1524464034757,10818907607811,33.279404,-11.128249,-0.641646
android.sensor.accelerometer,1524464034776,10818927598436,38.00077,-13.263878,1.7812861
android.sensor.accelerometer,1524464034797,10818947589061,38.709454,-14.767436,-0.009576807
android.sensor.accelerometer,1524464034816,10818967610936,38.68072,-18.2917,-6.5026517
android.sensor.accelerometer,1524464034836,10818987603124,42.19541,-23.367409,-5.717354
android.sensor.accelerometer,1524464034856,10819007592186,45.56645,-30.004135,-4.8362875
android.sensor.accelerometer,1524464034876,10819027615624,47.309425,-38.249767,-3.6296098
android.sensor.accelerometer,1524464034896,10819047606249,44.580036,-41.7453,2.3080103
android.sensor.accelerometer,1524464034916,10819067598436,38.35511,-39.92571,6.5601125
android.sensor.accelerometer,1524464034936,10819087620311,31.622616,-35.23307,6.6175733
android.sensor.accelerometer,1524464034956,10819107610936,27.05448,-29.860483,2.3463178
android.sensor.accelerometer,1524464034976,10819127601561,22.10327,-27.188555,-0.33518824
android.sensor.accelerometer,1524464034996,10819147593749,16.692375,-27.868507,-1.7429788
android.sensor.accelerometer,1524464035016,10819167615624,10.28549,-29.295452,-1.3503298
android.sensor.accelerometer,1524464035036,10819187606249,5.0757074,-31.124622,3.5051112
android.sensor.accelerometer,1524464035056,10819207596874,1.9728222,-33.154903,9.892841
android.sensor.accelerometer,1524464035076,10819227618749,-2.7581203,-31.929073,17.975666
android.sensor.accelerometer,1524464035096,10819247610936,-7.345411,-28.213272,23.558945
android.sensor.accelerometer,1524464035116,10819267599999,-10.304645,-25.656265,22.562958
android.sensor.accelerometer,1524464035137,10819287592186,-10.764331,-24.17186,17.630901
android.sensor.accelerometer,1524464035156,10819307614061,-9.969456,-23.48233,11.722012
android.sensor.accelerometer,1524464035176,10819327604686,-9.308656,-23.578098,6.081272
android.sensor.accelerometer,1524464035196,10819347595311,-3.6966474,-27.073633,3.1986535
android.sensor.accelerometer,1524464035216,10819367618749,7.2113357,-33.758244,0.82360536
