Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1524464049210,10833347593749,-3.9632587,1.2672662,-4.1544247
android.sensor.gyroscope,1524464049223,10833367615624,-3.4652815,1.2138066,-3.8937073
android.sensor.gyroscope,1524464049239,10833387606249,-3.0496836,1.0970966,-3.6150131
android.sensor.gyroscope,1524464049258,10833407598436,-2.7333426,0.9525658,-3.3373837
android.sensor.gyroscope,1524464049278,10833427618749,-2.4660804,0.8437445,-3.0914145
android.sensor.gyroscope,1524464049298,10833447610936,-2.1661108,0.7442084,-2.8448868
android.sensor.gyroscope,1524464049319,10833467601561,-1.8541331,0.6414085,-2.5849898
android.sensor.gyroscope,1524464049339,10833487592186,-1.5628725,0.5413139,-2.3469093
android.sensor.gyroscope,1524464049358,10833507614061,-1.326712,0.45268604,-2.144294
android.sensor.gyroscope,1524464049379,10833527606249,-1.1630874,0.37686893,-1.9722221
android.sensor.gyroscope,1524464049398,10833547596874,-1.0278244,0.33405602,-1.8195057
android.sensor.gyroscope,1524464049419,10833567620311,-0.91219634,0.33515558,-1.6782387
android.sensor.gyroscope,1524464049440,10833587610936,-0.7903025,0.43305108,-1.5544251
android.sensor.gyroscope,1524464049459,10833607599999,-0.67331314,0.49359655,-1.421623
android.sensor.gyroscope,1524464049479,10833627592186,-0.57513833,0.49195597,-1.282817
android.sensor.gyroscope,1524464049498,10833647614061,-0.47396162,0.4815887,-1.1494564
android.sensor.gyroscope,1524464049518,10833667604686,-0.36133552,0.45977208,-1.0160958
android.sensor.gyroscope,1524464049539,10833687595311,-0.20397663,0.3891386,-0.84892815
android.sensor.gyroscope,1524464049559,10833707618749,0.21188296,0.09080948,-0.5263215
android.sensor.gyroscope,1524464049578,10833727609374,0.5492202,-0.21516418,-0.21162117
android.sensor.gyroscope,1524464049598,10833747599999,0.9342922,-0.47996554,0.1521578
android.sensor.gyroscope,1524464049618,10833767590624,1.4535277,-0.7673864,0.6506762
android.sensor.gyroscope,1524464049639,10833787612499,2.1031218,-0.9629156,1.237805
android.sensor.gyroscope,1524464049658,10833807604686,2.5097136,-1.0654536,1.6572425
android.sensor.gyroscope,1524464049678,10833827593749,2.6518009,-1.055645,1.8246719
android.sensor.gyroscope,1524464049698,10833847617186,2.6545236,-1.0501821,1.9051316
android.sensor.gyroscope,1524464049719,10833867607811,2.6722562,-1.0452777,1.9874936
android.sensor.gyroscope,1524464049739,10833887598436,2.5697181,-1.0600083,1.9602141
android.sensor.gyroscope,1524464049758,10833907590624,2.220373,-1.0981786,1.7379639
android.sensor.gyroscope,1524464049779,10833927610936,1.2678071,-1.21817,1.1273605
android.sensor.gyroscope,1524464049798,10833947603124,-1.0551039,-1.4947,-0.34088024
android.sensor.gyroscope,1524464049819,10833967595311,-4.060613,-1.6847838,-2.2111053
android.sensor.gyroscope,1524464049840,10833987615624,-5.332522,-1.5787027,-2.9236882
android.sensor.gyroscope,1524464049858,10834007606249,-5.9870205,-1.373068,-3.1729388
android.sensor.gyroscope,1524464049879,10834027596874,-6.180909,-1.0482796,-3.1320457
android.sensor.gyroscope,1524464049898,10834047620311,-6.1356354,-0.64603364,-2.8945065
android.sensor.gyroscope,1524464049919,10834067610936,-5.731487,-0.1712517,-2.4764476
android.sensor.gyroscope,1524464049940,10834087601561,-5.3712506,0.24652776,-2.0463986
android.sensor.gyroscope,1524464049958,10834107593749,-5.1108127,0.55850536,-1.619334
android.sensor.gyroscope,1524464049979,10834127615624,-4.8440914,0.7916639,-1.1990936
android.sensor.gyroscope,1524464049998,10834147606249,-4.5105767,0.9351125,-0.82302743
android.sensor.gyroscope,1524464050019,10834167596874,-4.2397714,0.9855525,-0.45841074
android.sensor.gyroscope,1524464050039,10834187618749,-4.05433,0.91655964,-0.059986968
android.sensor.gyroscope,1524464050058,10834207609374,-3.8732522,0.72785467,0.31988394
android.sensor.gyroscope,1524464050079,10834227599999,-3.6490996,0.45677012,0.62557834
android.sensor.gyroscope,1524464050098,10834247592186,-3.4112983,0.13770647,0.87210613
android.sensor.gyroscope,1524464050119,10834267614061,-3.1688547,-0.18380062,1.0439163
android.sensor.gyroscope,1524464050140,10834287604686,-2.9509678,-0.4349535,1.1246378
android.sensor.gyroscope,1524464050158,10834307596874,-2.7568,-0.5429545,1.1011806
android.sensor.gyroscope,1524464050178,10834327618749,-2.6144333,-0.57595867,1.0185567
android.sensor.gyroscope,1524464050198,10834347609374,-2.4900787,-0.5721364,0.94383913
android.sensor.gyroscope,1524464050218,10834367599999,-2.354554,-0.55876714,0.8851961
android.sensor.gyroscope,1524464050239,10834387590624,-2.2934673,-0.42704716,0.81920516
android.sensor.gyroscope,1524464050258,10834407614061,-2.2375646,-0.2846981,0.74366736
