Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1524464499309,11283455239058,2.1068976,9.097966,2.8443117
android.sensor.accelerometer,1524464499324,11283475229683,2.2218192,9.222465,2.6623523
android.sensor.accelerometer,1524464499344,11283495253120,2.1164744,9.11712,2.6623523
android.sensor.accelerometer,1524464499364,11283515242183,2.0685902,9.165004,2.8060043
android.sensor.accelerometer,1524464499384,11283535232808,2.231396,9.184157,2.96881
android.sensor.accelerometer,1524464499404,11283555224995,2.2601264,9.203311,2.9400797
android.sensor.accelerometer,1524464499424,11283575246870,2.1260512,9.203311,2.825158
android.sensor.accelerometer,1524464499444,11283595237495,2.030283,9.289502,2.9017725
android.sensor.accelerometer,1524464499464,11283615228120,2.0398598,9.356541,2.9017725
android.sensor.accelerometer,1524464499484,11283635251558,2.0590134,9.32781,2.9017725
android.sensor.accelerometer,1524464499504,11283655242183,2.0685902,9.308656,2.873042
android.sensor.accelerometer,1524464499525,11283675232808,2.0973208,9.279925,2.8921957
android.sensor.accelerometer,1524464499544,11283695223433,2.135628,9.251195,2.873042
android.sensor.accelerometer,1524464499564,11283715245308,1.9440918,9.203311,2.777274
android.sensor.accelerometer,1524464499584,11283735235933,2.030283,9.088389,2.6910827
android.sensor.accelerometer,1524464499605,11283755228120,2.0973208,8.858546,2.5187001
android.sensor.accelerometer,1524464499624,11283775249995,1.8866309,8.734048,2.2697031
android.sensor.accelerometer,1524464499644,11283795240620,1.4269443,8.676587,1.8962077
android.sensor.accelerometer,1524464499665,11283815231245,1.2258313,8.944737,1.5035586
android.sensor.accelerometer,1524464499685,11283835221870,0.9864111,9.56723,0.94810385
android.sensor.accelerometer,1524464499705,11283855245308,1.388637,11.061212,0.8714894
android.sensor.accelerometer,1524464499725,11283875235933,1.6376339,13.627796,1.0151415
android.sensor.accelerometer,1524464499745,11283895226558,0.7374141,16.452953,2.8443117
android.sensor.accelerometer,1524464499765,11283915249995,0.6607997,19.891027,4.960786
android.sensor.accelerometer,1524464499785,11283935239058,3.6391866,21.222204,7.1155677
android.sensor.accelerometer,1524464499805,11283955231245,5.544971,20.810402,9.586384
android.sensor.accelerometer,1524464499825,11283975253120,7.6231384,19.268536,11.501745
android.sensor.accelerometer,1524464499845,11283995243745,9.768343,17.00841,11.3964
android.sensor.accelerometer,1524464499865,11284015234370,11.089942,14.221559,10.496181
android.sensor.accelerometer,1524464499885,11284035224995,10.898406,11.3964,9.500193
android.sensor.accelerometer,1524464499905,11284055248433,10.04607,8.896853,7.192182
android.sensor.accelerometer,1524464499925,11284075239058,9.481039,6.579266,5.8322754
android.sensor.accelerometer,1524464499945,11284095229683,9.050082,4.223372,5.353435
android.sensor.accelerometer,1524464499964,11284115251558,8.322245,2.585738,4.999093
android.sensor.accelerometer,1524464499984,11284135243745,7.575254,0.93852705,5.4779334
android.sensor.accelerometer,1524464500004,11284155232808,7.1059904,-0.6799533,4.807557
android.sensor.accelerometer,1524464500025,11284175224995,6.1866174,-1.9536686,4.012682
android.sensor.accelerometer,1524464500044,11284195246870,4.6830587,-2.719813,2.8921957
android.sensor.accelerometer,1524464500064,11284215237495,2.767697,-3.1603463,1.733402
android.sensor.accelerometer,1524464500084,11284235229683,0.5267244,-3.0933087,1.4460979
android.sensor.accelerometer,1524464500105,11284255251558,-1.6759412,-2.825158,2.0207062
android.sensor.accelerometer,1524464500124,11284275242183,-3.3806129,-3.1316159,-0.11492168
android.sensor.accelerometer,1524464500144,11284295232808,-3.7732618,-3.5338416,-3.083732
android.sensor.accelerometer,1524464500164,11284315223433,-3.8594532,-4.2904096,-3.916914
android.sensor.accelerometer,1524464500184,11284335245308,-4.501099,-4.0892963,-4.453215
android.sensor.accelerometer,1524464500204,11284355237495,-5.3725886,-3.371036,-4.0318356
