Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1524464549291,11333435240620,1.8579005,8.743625,3.9552212
android.sensor.accelerometer,1524464549304,11333455231245,1.733402,8.829816,3.916914
android.sensor.accelerometer,1524464549324,11333475253120,1.7429788,8.829816,3.9264908
android.sensor.accelerometer,1524464549344,11333495243745,1.934515,8.762778,4.1371803
android.sensor.accelerometer,1524464549364,11333515234370,1.9728222,8.762778,4.31914
android.sensor.accelerometer,1524464549384,11333535224995,1.7908629,8.791509,4.2425256
android.sensor.accelerometer,1524464549404,11333555248433,1.7238252,8.820239,4.060566
android.sensor.accelerometer,1524464549424,11333575239058,1.7717092,8.810662,4.0318356
android.sensor.accelerometer,1524464549444,11333595229683,1.934515,8.762778,4.012682
android.sensor.accelerometer,1524464549464,11333615251558,1.9153614,8.724471,4.0414124
android.sensor.accelerometer,1524464549484,11333635242183,1.8195933,8.772355,4.0318356
android.sensor.accelerometer,1524464549504,11333655234370,1.733402,8.801085,4.0797195
android.sensor.accelerometer,1524464549524,11333675224995,1.7812861,8.772355,4.012682
android.sensor.accelerometer,1524464549544,11333695246870,1.8195933,8.743625,3.8881836
android.sensor.accelerometer,1524464549564,11333715237495,1.7525556,8.714894,3.6966474
android.sensor.accelerometer,1524464549584,11333735228120,1.7812861,8.647857,3.6487634
android.sensor.accelerometer,1524464549604,11333755251558,1.934515,8.599973,3.763685
android.sensor.accelerometer,1524464549624,11333775242183,2.1547816,8.571242,3.6583402
android.sensor.accelerometer,1524464549644,11333795232808,2.7389667,8.6574335,3.2944214
android.sensor.accelerometer,1524464549664,11333815223433,4.8362875,8.810662,3.8594532
android.sensor.accelerometer,1524464549684,11333835245308,6.6367273,9.308656,4.4819455
android.sensor.accelerometer,1524464549704,11333855235933,7.6231384,9.854534,3.8786068
android.sensor.accelerometer,1524464549724,11333875228120,8.580819,10.668563,4.280833
android.sensor.accelerometer,1524464549744,11333895249995,8.820239,11.9614315,6.2728086
android.sensor.accelerometer,1524464549764,11333915240620,6.397307,14.528016,9.11712
android.sensor.accelerometer,1524464549784,11333935232808,2.3750482,17.650055,12.277467
android.sensor.accelerometer,1524464549804,11333955223433,0.62249243,19.52711,13.034034
android.sensor.accelerometer,1524464549824,11333975245308,1.3790601,19.37388,14.12579
android.sensor.accelerometer,1524464549844,11333995235933,0.92895025,18.425776,15.361198
android.sensor.accelerometer,1524464549864,11334015226558,-0.23942018,17.085024,15.140931
android.sensor.accelerometer,1524464549884,11334035248433,-1.5227122,14.84405,11.233594
android.sensor.accelerometer,1524464549904,11334055240620,-2.8634653,11.971008,8.1881695
android.sensor.accelerometer,1524464549924,11334075231245,-4.903325,9.232041,5.1235914
android.sensor.accelerometer,1524464549944,11334095253120,-6.991069,6.0238113,2.3750482
android.sensor.accelerometer,1524464549964,11334115243745,-10.01734,3.5051112,0.48841715
android.sensor.accelerometer,1524464549984,11334135234370,-13.034034,1.7429788,-0.6512229
android.sensor.accelerometer,1524464550004,11334155226558,-14.633361,-0.23942018,-2.0685902
android.sensor.accelerometer,1524464550024,11334175248433,-14.020445,-1.9057846,-4.213795
android.sensor.accelerometer,1524464550044,11334195239058,-11.137826,-3.4859576,-5.3247046
android.sensor.accelerometer,1524464550064,11334215229683,-7.3166804,-4.951209,-5.267244
android.sensor.accelerometer,1524464550084,11334235251558,-3.41892,-6.1387334,-4.4915223
android.sensor.accelerometer,1524464550104,11334255242183,0.038307227,-6.7612257,-4.2904096
android.sensor.accelerometer,1524464550124,11334275234370,2.0973208,-6.3685765,-4.261679
android.sensor.accelerometer,1524464550144,11334295224995,2.9113493,-6.2823853,-3.169923
android.sensor.accelerometer,1524464550164,11334315246870,3.3614593,-5.5258174,-2.5474305
android.sensor.accelerometer,1524464550184,11334335237495,3.3135753,-4.960786,-1.8483237
android.sensor.accelerometer,1524464550204,11334355228120,4.156334,-4.912902,-0.35434186
android.sensor.accelerometer,1524464550224,11334375251558,6.4068837,-5.1140146,0.038307227
android.sensor.accelerometer,1524464550244,11334395285933,7.8146744,-5.497087,0.41180268
android.sensor.accelerometer,1524464550264,11334415232808,7.690176,-6.090849,1.8483237
android.sensor.accelerometer,1524464550284,11334435223433,6.6271505,-5.841852,4.414908
android.sensor.accelerometer,1524464550304,11334455246870,5.851429,-5.133168,8.149862
android.sensor.accelerometer,1524464550324,11334475237495,5.7843914,-4.596867,12.909535
android.sensor.accelerometer,1524464550344,11334495228120,9.097966,-4.1371803,15.571888
android.sensor.accelerometer,1524464550364,11334515249995,13.867216,-5.046977,16.883911
android.sensor.accelerometer,1524464550384,11334535240620,16.701952,-5.2959743,17.630901
android.sensor.accelerometer,1524464550404,11334555231245,17.0946,-3.4284968,17.630901
android.sensor.accelerometer,1524464550424,11334575223433,15.619772,-2.135628,17.736246
android.sensor.accelerometer,1524464550444,11334595245308,14.269443,-1.1492168,19.153614
android.sensor.accelerometer,1524464550464,11334615235933,14.5567465,-1.541866,18.20551
android.sensor.accelerometer,1524464550484,11334635226558,14.192827,-1.0630256,19.40261
android.sensor.accelerometer,1524464550504,11334655248433,12.861651,0.06703765,20.87744
android.sensor.accelerometer,1524464550524,11334675240620,11.540052,0.62249243,21.5957
android.sensor.accelerometer,1524464550544,11334695231245,9.241618,1.3215994,22.419304
android.sensor.accelerometer,1524464550564,11334715223433,7.8625584,2.2122424,21.691467
android.sensor.accelerometer,1524464550584,11334735243745,6.205771,3.2752678,20.590134
android.sensor.accelerometer,1524464550604,11334755234370,3.9743748,4.3382936,21.155167
android.sensor.accelerometer,1524464550624,11334775226558,2.4420857,5.046977,21.136013
android.sensor.accelerometer,1524464550644,11334795248433,2.3654714,4.912902,19.64203
android.sensor.accelerometer,1524464550664,11334815239058,2.1260512,4.367024,19.450495
android.sensor.accelerometer,1524464550684,11334835229683,-0.24899697,4.271256,19.565416
android.sensor.accelerometer,1524464550704,11334855253120,-3.9552212,4.759673,19.40261
android.sensor.accelerometer,1524464550724,11334875243745,-5.4779334,4.7309427,17.027563
android.sensor.accelerometer,1524464550744,11334895234370,-5.2768207,4.232949,14.001291
android.sensor.accelerometer,1524464550764,11334915224995,-5.592855,4.060566,11.626244
android.sensor.accelerometer,1524464550784,11334935246870,-6.3206925,4.146757,10.055647
android.sensor.accelerometer,1524464550804,11334955237495,-6.531382,4.1946416,8.513782
android.sensor.accelerometer,1524464550824,11334975228120,-5.3725886,3.9264908,7.785944
android.sensor.accelerometer,1524464550844,11334995251558,-4.0318356,3.5051112,7.5082164
android.sensor.accelerometer,1524464550864,11335015242183,-2.681506,3.0550013,6.5601125
android.sensor.accelerometer,1524464550884,11335035232808,-1.8579005,2.6240451,4.7405195
android.sensor.accelerometer,1524464550904,11335055224995,-1.1779473,2.72939,3.7253778
android.sensor.accelerometer,1524464550924,11335075246870,-0.7469909,3.1890767,2.72939
android.sensor.accelerometer,1524464550944,11335095237495,-0.22026655,3.2561142,2.0015526
android.sensor.accelerometer,1524464550964,11335115228120,0.5363012,3.0262709,1.4077905
android.sensor.accelerometer,1524464550984,11335135249995,1.1204864,2.9017725,1.2641385
android.sensor.accelerometer,1524464551004,11335155240620,1.043872,3.1603463,1.4460979
android.sensor.accelerometer,1524464551024,11335175232808,1.0821792,3.3327289,1.3503298
android.sensor.accelerometer,1524464551044,11335195223433,1.4556746,3.371036,0.60333884
android.sensor.accelerometer,1524464551064,11335215245308,2.777274,3.5242648,-0.19153613
android.sensor.accelerometer,1524464551084,11335235235933,3.5242648,4.213795,-0.34476504
android.sensor.accelerometer,1524464551104,11335255226558,3.821146,4.8745947,-0.20111294
android.sensor.accelerometer,1524464551124,11335275249995,4.6255975,5.7269306,-0.20111294
android.sensor.accelerometer,1524464551144,11335295240620,5.104438,6.4643445,0.48841715
android.sensor.accelerometer,1524464551164,11335315231245,5.3821654,7.3166804,0.6991069
android.sensor.accelerometer,1524464551184,11335335223433,5.4779334,8.2169,0.46926352
android.sensor.accelerometer,1524464551204,11335355243745,5.7748146,8.935161,0.9864111
android.sensor.accelerometer,1524464551224,11335375234370,5.7365074,9.56723,2.327164
android.sensor.accelerometer,1524464551244,11335395226558,5.171476,9.883265,2.9783869
android.sensor.accelerometer,1524464551264,11335415248433,4.8841715,10.055647,3.2848446
android.sensor.accelerometer,1524464551284,11335435239058,4.6255975,10.036493,3.0454245
android.sensor.accelerometer,1524464551304,11335455229683,4.2042184,9.883265,2.7102363
android.sensor.accelerometer,1524464551324,11335475251558,3.9935284,9.710882,2.7389667
android.sensor.accelerometer,1524464551344,11335495243745,3.964798,9.528923,2.72939
android.sensor.accelerometer,1524464551364,11335515234370,3.9360676,9.241618,2.6527755
android.sensor.accelerometer,1524464551384,11335535224995,3.9264908,8.935161,2.7389667
android.sensor.accelerometer,1524464551404,11335555248433,3.6583402,8.724471,3.0933087
