Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1524464529350,11313495246870,0.0,0.0,0.0
android.sensor.gyroscope,1524464529364,11313515237495,0.0,0.0,0.0
android.sensor.gyroscope,1524464529384,11313535228120,0.0,0.0,0.0
android.sensor.gyroscope,1524464529404,11313555251558,0.0,0.0,0.0
android.sensor.gyroscope,1524464529424,11313575242183,0.0,0.0,0.0
android.sensor.gyroscope,1524464529444,11313595232808,0.0,0.0,0.0
android.sensor.gyroscope,1524464529465,11313615223433,0.0,0.0,0.0
android.sensor.gyroscope,1524464529484,11313635246870,-0.017994344,0.033527777,0.010629055
android.sensor.gyroscope,1524464529504,11313655237495,0.0,0.0,0.0
android.sensor.gyroscope,1524464529524,11313675228120,-0.017174039,0.034348078,0.009267698
android.sensor.gyroscope,1524464529544,11313695249995,0.0,0.0,0.0
android.sensor.gyroscope,1524464529564,11313715240620,0.0,0.0,0.0
android.sensor.gyroscope,1524464529585,11313735231245,0.0,0.0,0.0
android.sensor.gyroscope,1524464529604,11313755223433,-0.02480113,0.061086524,0.018535396
android.sensor.gyroscope,1524464529624,11313775245308,-0.020996312,0.030543262,0.013892821
android.sensor.gyroscope,1524464529644,11313795235933,-0.022619467,0.029443704,0.013892821
android.sensor.gyroscope,1524464529664,11313815226558,0.0,0.0,0.0
android.sensor.gyroscope,1524464529684,11313835249995,0.0,0.0,0.0
android.sensor.gyroscope,1524464529705,11313855240620,0.0,0.0,0.0
android.sensor.gyroscope,1524464529724,11313875231245,0.0,0.0,0.0
android.sensor.gyroscope,1524464529745,11313895253120,0.0,0.0,0.0
android.sensor.gyroscope,1524464529764,11313915243745,0.0,0.0,0.0
android.sensor.gyroscope,1524464529784,11313935234370,0.0,0.0,0.0
android.sensor.gyroscope,1524464529804,11313955224995,0.0,0.0,0.0
android.sensor.gyroscope,1524464529825,11313975248433,0.0,0.0,0.0
android.sensor.gyroscope,1524464529844,11313995239058,-0.046896998,-0.044436082,0.022619467
android.sensor.gyroscope,1524464529864,11314015229683,-0.056985,-0.07061602,0.031346112
android.sensor.gyroscope,1524464529884,11314035251558,-0.06571165,-0.09625491,0.03981096
android.sensor.gyroscope,1524464529905,11314055243745,-0.06435029,-0.1128879,0.038711403
android.sensor.gyroscope,1524464529924,11314075234370,-0.07171558,-0.15926129,0.04171337
android.sensor.gyroscope,1524464529945,11314095224995,-0.07389724,-0.16634732,0.045814894
android.sensor.gyroscope,1524464529964,11314115248433,-0.08152433,-0.15926129,0.056164697
android.sensor.gyroscope,1524464529984,11314135237495,-0.087807514,-0.19088666,0.057526052
android.sensor.gyroscope,1524464530004,11314155229683,-0.09679596,-0.22361158,0.059986968
android.sensor.gyroscope,1524464530025,11314175251558,-0.09707521,-0.19224802,0.053721234
android.sensor.gyroscope,1524464530044,11314195242183,-0.095713854,-0.12679817,0.04717625
android.sensor.gyroscope,1524464530065,11314215232808,-0.09080948,-0.10143854,0.036808994
android.sensor.gyroscope,1524464530084,11314235223433,-0.0946143,-0.0935322,0.025080381
android.sensor.gyroscope,1524464530104,11314255245308,-0.07443829,0.022078415,0.00816814
android.sensor.gyroscope,1524464530125,11314275237495,-0.027803095,0.47914523,0.012531464
android.sensor.gyroscope,1524464530144,11314295228120,-0.0095294975,0.87510806,0.04363323
android.sensor.gyroscope,1524464530164,11314315249995,0.0027227136,1.1172725,0.057526052
android.sensor.gyroscope,1524464530185,11314335240620,0.023719024,1.2708092,0.06925467
android.sensor.gyroscope,1524464530204,11314355231245,0.06735226,1.6114275,0.095434606
android.sensor.gyroscope,1524464530224,11314375223433,0.17397442,2.302735,0.16442747
android.sensor.gyroscope,1524464530244,11314395290620,0.24678956,2.9242294,0.26398104
android.sensor.gyroscope,1524464530264,11314415235933,0.28333676,3.6717365,0.39868554
android.sensor.gyroscope,1524464530284,11314435226558,0.28033477,4.4085793,0.53368676
android.sensor.gyroscope,1524464530305,11314455249995,0.22661355,4.9818153,0.630762
android.sensor.gyroscope,1524464530324,11314475240620,0.1502554,5.2703357,0.6689498
android.sensor.gyroscope,1524464530344,11314495231245,0.07061602,5.457697,0.69595003
android.sensor.gyroscope,1524464530364,11314515221870,-0.011990412,5.5681415,0.71230376
android.sensor.gyroscope,1524464530384,11314535243745,-0.114807755,5.573587,0.6956708
android.sensor.gyroscope,1524464530404,11314555234370,-0.20697859,5.4505935,0.64739496
android.sensor.gyroscope,1524464530425,11314575226558,-0.28441885,5.187433,0.5754002
android.sensor.gyroscope,1524464530444,11314595248433,-0.3596949,4.758466,0.49549899
android.sensor.gyroscope,1524464530464,11314615239058,-0.48923326,4.17488,0.37604862
android.sensor.gyroscope,1524464530484,11314635231245,-0.72130966,3.6689963,0.16524777
android.sensor.gyroscope,1524464530504,11314655251558,-1.039012,3.1865873,-0.1128879
android.sensor.gyroscope,1524464530524,11314675243745,-1.5566068,2.3861792,-0.4431391
android.sensor.gyroscope,1524464530545,11314695234370,-2.6359882,1.2100018,-0.93673563
android.sensor.gyroscope,1524464530565,11314715224995,-4.1045084,0.19170697,-1.3687047
android.sensor.gyroscope,1524464530585,11314735246870,-5.6324916,-0.82821107,-1.2773541
android.sensor.gyroscope,1524464530605,11314755237495,-6.427175,-1.74505,-0.6476742
android.sensor.gyroscope,1524464530624,11314775229683,-6.5188046,-2.4306328,-0.046617743
android.sensor.gyroscope,1524464530645,11314795251558,-6.1950984,-2.8246932,0.28824112
android.sensor.gyroscope,1524464530665,11314815242183,-5.597585,-2.9659603,0.39950585
android.sensor.gyroscope,1524464530685,11314835234370,-4.892647,-2.906235,0.3654196
android.sensor.gyroscope,1524464530705,11314855223433,-4.1786847,-2.7696106,0.2582389
android.sensor.gyroscope,1524464530725,11314875246870,-3.486557,-2.6752582,0.09489355
android.sensor.gyroscope,1524464530745,11314895237495,-2.8645217,-2.5658958,-0.09897762
android.sensor.gyroscope,1524464530765,11314915228120,-2.2918267,-2.391642,-0.2846981
android.sensor.gyroscope,1524464530785,11314935249995,-1.7758725,-2.1524796,-0.44505897
android.sensor.gyroscope,1524464530805,11314955242183,-1.3591752,-1.9184834,-0.59259164
android.sensor.gyroscope,1524464530825,11314975232808,-1.0065489,-1.6673305,-0.716126
android.sensor.gyroscope,1524464530845,11314995223433,-0.6918485,-1.3850758,-0.7982089
android.sensor.gyroscope,1524464530865,11315015245308,-0.4273264,-1.1197335,-0.8519301
android.sensor.gyroscope,1524464530885,11315035235933,-0.20507619,-0.871024,-0.88547534
android.sensor.gyroscope,1524464530905,11315055228120,-0.019076448,-0.630762,-0.8991064
android.sensor.gyroscope,1524464530925,11315075249995,0.1513375,-0.40250784,-0.86910415
android.sensor.gyroscope,1524464530945,11315095240620,0.30243066,-0.18924604,-0.79602724
android.sensor.gyroscope,1524464530965,11315115231245,0.41505674,-0.018535396,-0.7496713
android.sensor.gyroscope,1524464530985,11315135221870,0.49713957,0.12325515,-0.71420616
android.sensor.gyroscope,1524464531005,11315155245308,0.5748591,0.27078784,-0.6599439
android.sensor.gyroscope,1524464531025,11315175234370,0.6397679,0.39924407,-0.617672
android.sensor.gyroscope,1524464531045,11315195226558,0.6801199,0.50150293,-0.583865
android.sensor.gyroscope,1524464531065,11315215248433,0.7330383,0.5931327,-0.53368676
android.sensor.gyroscope,1524464531085,11315235239058,0.7733903,0.67057294,-0.46877798
android.sensor.gyroscope,1524464531105,11315255229683,0.8115781,0.7442084,-0.3864159
android.sensor.gyroscope,1524464531125,11315275253120,0.844303,0.82056653,-0.25197318
android.sensor.gyroscope,1524464531145,11315295243745,0.8808328,0.89392275,-0.09817477
android.sensor.gyroscope,1524464531165,11315315234370,0.9004677,0.9269269,0.0019024089
android.sensor.gyroscope,1524464531185,11315335226558,0.911376,0.9187413,0.044715334
android.sensor.gyroscope,1524464531205,11315355248433,0.92066115,0.95474744,0.15079644
android.sensor.gyroscope,1524464531224,11315375239058,0.94001687,1.0463773,0.3277903
android.sensor.gyroscope,1524464531244,11315395229683,0.9593726,1.1622671,0.5006826
android.sensor.gyroscope,1524464531265,11315415251558,0.96429443,1.2440882,0.61030674
android.sensor.gyroscope,1524464531285,11315435242183,0.95418894,1.3139013,0.67057294
android.sensor.gyroscope,1524464531304,11315455232808,0.9550093,1.3837144,0.7218507
android.sensor.gyroscope,1524464531325,11315475224995,0.98310906,1.4109765,0.739304
android.sensor.gyroscope,1524464531344,11315495246870,1.039012,1.3908005,0.719128
android.sensor.gyroscope,1524464531365,11315515237495,1.1336437,1.3010732,0.6591236
android.sensor.gyroscope,1524464531385,11315535228120,1.2582603,1.1031004,0.54403657
android.sensor.gyroscope,1524464531405,11315555251558,1.424625,0.80583596,0.3845135
android.sensor.gyroscope,1524464531424,11315575242183,1.6351466,0.31906363,0.123534404
android.sensor.gyroscope,1524464531444,11315595232808,1.8642211,-0.40142572,-0.27597147
android.sensor.gyroscope,1524464531464,11315615223433,1.9970232,-1.4366155,-0.9318313
android.sensor.gyroscope,1524464531484,11315635245308,1.8579553,-2.8276951,-1.8372208
android.sensor.gyroscope,1524464531505,11315655235933,1.5107919,-4.068799,-2.524444
android.sensor.gyroscope,1524464531524,11315675228120,1.1227354,-5.055992,-2.89969
android.sensor.gyroscope,1524464531544,11315695249995,0.79194313,-5.4896016,-2.8538752
android.sensor.gyroscope,1524464531564,11315715240620,0.6130469,-5.389507,-2.542718
android.sensor.gyroscope,1524464531584,11315735231245,0.52876496,-5.1309886,-2.2260976
android.sensor.gyroscope,1524464531604,11315755221870,0.49113566,-4.8012786,-1.9487648
android.sensor.gyroscope,1524464531625,11315775245308,0.4886922,-4.4107614,-1.6962332
android.sensor.gyroscope,1524464531645,11315795235933,0.49577823,-3.9888802,-1.4676998
android.sensor.gyroscope,1524464531665,11315815226558,0.52522194,-3.5075533,-1.2751725
android.sensor.gyroscope,1524464531685,11315835248433,0.5448569,-3.0635939,-1.1268195
android.sensor.gyroscope,1524464531705,11315855240620,0.57021654,-2.6436152,-1.0147344
android.sensor.gyroscope,1524464531724,11315875231245,0.57457983,-2.2871842,-0.93211055
android.sensor.gyroscope,1524464531745,11315895253120,0.5789432,-1.9615755,-0.8611978
android.sensor.gyroscope,1524464531764,11315915243745,0.5846853,-1.6411506,-0.79056436
android.sensor.gyroscope,1524464531784,11315935234370,0.5767615,-1.3545326,-0.74202675
android.sensor.gyroscope,1524464531804,11315955226558,0.56695276,-1.078823,-0.6986728
android.sensor.gyroscope,1524464531824,11315975248433,0.55250144,-0.8410218,-0.66376615
android.sensor.gyroscope,1524464531844,11315995239058,0.5448569,-0.5819451,-0.62557834
android.sensor.gyroscope,1524464531865,11316015229683,0.5241398,-0.38477528,-0.5833065
android.sensor.gyroscope,1524464531884,11316035251558,0.50504595,-0.19552924,-0.5503198
android.sensor.gyroscope,1524464531904,11316055242183,0.499042,0.023719024,-0.5260422
android.sensor.gyroscope,1524464531924,11316075232808,0.49305552,0.20151572,-0.50476664
android.sensor.gyroscope,1524464531944,11316095224995,0.47914523,0.34278268,-0.4777839
android.sensor.gyroscope,1524464531964,11316115246870,0.472321,0.44450045,-0.46713737
android.sensor.gyroscope,1524464531985,11316135237495,0.4695983,0.5238606,-0.45732862
android.sensor.gyroscope,1524464532004,11316155228120,0.46113345,0.59203315,-0.43877578
android.sensor.gyroscope,1524464532024,11316175251558,0.43905503,0.61384976,-0.42596504
android.sensor.gyroscope,1524464532044,11316195242183,0.4136954,0.62367594,-0.39760345
android.sensor.gyroscope,1524464532064,11316215232808,0.39350194,0.6389476,-0.37250564
android.sensor.gyroscope,1524464532084,11316235223433,0.36924186,0.61004496,-0.3523296
android.sensor.gyroscope,1524464532105,11316255246870,0.34824553,0.58548814,-0.32614967
android.sensor.gyroscope,1524464532124,11316275235933,0.31714377,0.5061455,-0.31087804
android.sensor.gyroscope,1524464532144,11316295228120,0.29070204,0.43931684,-0.29670596
