Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1524554839201,101623350799995,0.5554548,9.749189,0.641646
android.sensor.accelerometer,1524554839220,101623370790620,0.46926352,9.797073,0.47884035
android.sensor.accelerometer,1524554839240,101623390781245,0.47884035,9.797073,0.40222588
android.sensor.accelerometer,1524554839260,101623410804683,0.5363012,9.739613,0.48841715
android.sensor.accelerometer,1524554839280,101623430795308,0.545878,9.749189,0.51714754
android.sensor.accelerometer,1524554839300,101623450785933,0.4309563,9.77792,0.31603462
android.sensor.accelerometer,1524554839320,101623470776558,0.29688102,9.816227,0.2873042
android.sensor.accelerometer,1524554839340,101623490798433,0.30645782,9.77792,0.35434186
android.sensor.accelerometer,1524554839360,101623510789058,0.45968673,9.768343,0.545878
android.sensor.accelerometer,1524554839380,101623530781245,0.5554548,9.758766,0.41180268
android.sensor.accelerometer,1524554839400,101623550803120,0.51714754,9.77792,0.24899697
android.sensor.accelerometer,1524554839420,101623570793745,0.5746084,9.80665,0.047884032
android.sensor.accelerometer,1524554839440,101623590784370,0.4405331,9.816227,0.21068975
android.sensor.accelerometer,1524554839460,101623610776558,0.37349546,9.787497,0.5363012
android.sensor.accelerometer,1524554839480,101623630798433,0.4405331,9.758766,0.51714754
android.sensor.accelerometer,1524554839500,101623650789058,0.5554548,9.787497,0.4405331
android.sensor.accelerometer,1524554839520,101623670779683,0.5267244,9.787497,0.36391866
android.sensor.accelerometer,1524554839540,101623690801558,0.5267244,9.873688,0.2777274
android.sensor.accelerometer,1524554839560,101623710792183,0.45010993,9.883265,0.37349546
android.sensor.accelerometer,1524554839580,101623730782808,0.60333884,9.816227,0.48841715
android.sensor.accelerometer,1524554839600,101623750774995,0.80445176,9.825804,0.45010993
android.sensor.accelerometer,1524554839620,101623770796870,0.7565677,9.825804,0.89064306
android.sensor.accelerometer,1524554839640,101623790787495,0.7374141,9.787497,0.92895025
android.sensor.accelerometer,1524554839660,101623810779683,0.78529817,9.77792,0.59376204
android.sensor.accelerometer,1524554839680,101623830799995,0.6512229,9.854534,0.47884035
android.sensor.accelerometer,1524554839700,101623850792183,0.45010993,9.950302,0.63206923
android.sensor.accelerometer,1524554839720,101623870782808,0.50757074,10.084377,0.46926352
android.sensor.accelerometer,1524554839740,101623890804683,0.62249243,10.295067,0.5650316
android.sensor.accelerometer,1524554839760,101623910795308,0.58418524,10.505757,1.13964
android.sensor.accelerometer,1524554839780,101623930785933,0.4405331,10.927136,1.6472107
android.sensor.accelerometer,1524554839800,101623950778120,0.7278373,11.070788,1.8291701
android.sensor.accelerometer,1524554839820,101623970799995,1.2737153,11.003751,1.7142484
android.sensor.accelerometer,1524554839840,101623990790620,1.9249382,10.831368,2.5091233
android.sensor.accelerometer,1524554839860,101624010781245,2.6240451,10.448297,3.6296098
android.sensor.accelerometer,1524554839880,101624030803120,2.72939,9.739613,4.5872903
android.sensor.accelerometer,1524554839900,101624050793745,2.585738,9.050082,5.1523223
android.sensor.accelerometer,1524554839920,101624070785933,2.432509,8.322245,5.6886234
android.sensor.accelerometer,1524554839940,101624090776558,2.2122424,7.431602,6.196194
android.sensor.accelerometer,1524554839960,101624110801558,2.0685902,6.5601125,6.7708025
android.sensor.accelerometer,1524554839980,101624130789058,1.8004397,5.755661,7.0964136
android.sensor.accelerometer,1524554840000,101624150781245,1.685518,5.1523223,6.493075
android.sensor.accelerometer,1524554840020,101624170803120,1.7621324,4.8458643,4.6160207
android.sensor.accelerometer,1524554840040,101624190793745,1.6280571,4.8745947,1.8291701
android.sensor.accelerometer,1524554840060,101624210784370,1.532289,4.903325,-2.1739352
android.sensor.accelerometer,1524554840080,101624230776558,0.63206923,5.7269306,-4.644751
android.sensor.accelerometer,1524554840100,101624250798433,-0.79487497,6.339846,-5.793968
android.sensor.accelerometer,1524554840120,101624270789058,-1.340753,6.6079965,-7.0581064
android.sensor.accelerometer,1524554840140,101624290779683,-1.2066777,7.153875,-8.207323
android.sensor.accelerometer,1524554840160,101624310801558,-1.0534488,7.7572136,-9.251195
android.sensor.accelerometer,1524554840180,101624330793745,-1.6376339,8.226477,-9.854534
