Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1524554846764,101630910779683,0.0,0.0,0.0
android.sensor.gyroscope,1524554846781,101630930801558,0.014451326,-0.03244567,0.017174039
android.sensor.gyroscope,1524554846802,101630950792183,0.0,0.0,0.0
android.sensor.gyroscope,1524554846821,101630970782808,0.0019024089,-0.05454154,0.013351769
android.sensor.gyroscope,1524554846841,101630990804683,0.0,0.0,0.0
android.sensor.gyroscope,1524554846861,101631010796870,-0.010629055,-0.036808994,0.0095294975
android.sensor.gyroscope,1524554846881,101631030787495,-0.016632987,-0.034627333,0.0095294975
android.sensor.gyroscope,1524554846901,101631050778120,-0.024260076,-0.048799407,0.014172073
android.sensor.gyroscope,1524554846921,101631070799995,-0.01308997,-0.036808994,0.006544985
android.sensor.gyroscope,1524554846942,101631090792183,-0.018535396,-0.06544985,0.00816814
android.sensor.gyroscope,1524554846961,101631110782808,-0.019355701,-0.048537605,0.020176006
android.sensor.gyroscope,1524554846981,101631130804683,0.0,0.0,0.0
android.sensor.gyroscope,1524554847001,101631150795308,0.0,0.0,0.0
android.sensor.gyroscope,1524554847021,101631170785933,0.0,0.0,0.0
android.sensor.gyroscope,1524554847041,101631190778120,0.0,0.0,0.0
android.sensor.gyroscope,1524554847062,101631210798433,0.0,0.0,0.0
android.sensor.gyroscope,1524554847081,101631230790620,0.0,0.0,0.0
android.sensor.gyroscope,1524554847101,101631250781245,0.0,0.0,0.0
android.sensor.gyroscope,1524554847121,101631270803120,-0.013631022,-0.0283616,0.023998277
android.sensor.gyroscope,1524554847141,101631290793745,-0.02289872,-0.06435029,0.0376293
android.sensor.gyroscope,1524554847161,101631310785933,-0.016353736,-0.030543262,0.01881465
android.sensor.gyroscope,1524554847181,101631330776558,-0.034906585,-0.063268185,0.029443704
android.sensor.gyroscope,1524554847201,101631350798433,-0.030264009,-0.042533673,0.020717058
android.sensor.gyroscope,1524554847221,101631370789058,-0.043074727,-0.04717625,0.02480113
