Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1524464595604,11379755243745,2.3942018,9.088389,2.6910827
android.sensor.accelerometer,1524464595624,11379775234370,2.4899697,9.097966,2.7102363
android.sensor.accelerometer,1524464595644,11379795224995,2.4420857,9.126697,2.7389667
android.sensor.accelerometer,1524464595664,11379815246870,2.2697031,9.212888,2.72939
android.sensor.accelerometer,1524464595684,11379835239058,2.2601264,9.222465,2.7485435
android.sensor.accelerometer,1524464595704,11379855229683,2.2888567,9.260772,2.777274
android.sensor.accelerometer,1524464595724,11379875251558,2.2984335,9.212888,2.7581203
android.sensor.accelerometer,1524464595744,11379895243745,2.1547816,9.299079,2.6910827
android.sensor.accelerometer,1524464595764,11379915232808,2.030283,9.308656,2.6623523
android.sensor.accelerometer,1524464595784,11379935224995,2.0111294,9.337387,2.633622
android.sensor.accelerometer,1524464595804,11379955246870,2.1452048,9.299079,2.777274
android.sensor.accelerometer,1524464595824,11379975237495,2.3750482,9.241618,2.9017725
android.sensor.accelerometer,1524464595844,11379995228120,2.4420857,9.241618,2.9879637
android.sensor.accelerometer,1524464595864,11380015249995,2.585738,9.165004,3.1603463
android.sensor.accelerometer,1524464595884,11380035242183,2.633622,9.184157,3.016694
android.sensor.accelerometer,1524464595904,11380055232808,2.4229321,9.32781,3.0262709
android.sensor.accelerometer,1524464595924,11380075223433,2.1739352,9.557653,2.9879637
android.sensor.accelerometer,1524464595944,11380095245308,2.0207062,9.988609,2.9975405
android.sensor.accelerometer,1524464595964,11380115235933,1.3694834,11.022904,2.7964275
android.sensor.accelerometer,1524464595984,11380135228120,0.038307227,11.271901,2.9113493
android.sensor.accelerometer,1524464596004,11380155249995,-0.4213795,11.137826,3.4955344
android.sensor.accelerometer,1524464596024,11380175240620,-0.7182605,11.281479,3.2273839
android.sensor.accelerometer,1524464596044,11380195231245,-1.484405,10.352529,4.2042184
android.sensor.accelerometer,1524464596064,11380215221870,-2.3463178,9.634268,4.759673
android.sensor.accelerometer,1524464596084,11380235243745,-2.384625,8.916007,4.3478703
android.sensor.accelerometer,1524464596104,11380255235933,-0.51714754,7.7189064,4.1180267
android.sensor.accelerometer,1524464596124,11380275226558,2.882619,5.995081,3.323152
android.sensor.accelerometer,1524464596144,11380295248433,8.37013,5.094861,2.4420857
android.sensor.accelerometer,1524464596164,11380315240620,14.164097,3.9839516,2.7485435
android.sensor.accelerometer,1524464596184,11380335231245,20.484789,3.1890767,3.7349546
android.sensor.accelerometer,1524464596204,11380355253120,27.303476,2.4229321,4.7788267
android.sensor.accelerometer,1524464596224,11380375243745,30.588322,2.1930888,5.1140146
android.sensor.accelerometer,1524464596244,11380395234370,31.067162,1.685518,4.0318356
android.sensor.accelerometer,1524464596264,11380415224995,28.979418,0.47884035,3.7732618
android.sensor.accelerometer,1524464596284,11380435248433,24.679432,-0.842759,4.8458643
android.sensor.accelerometer,1524464596304,11380455239058,18.770542,-1.8291701,7.97748
android.sensor.accelerometer,1524464596324,11380475229683,11.674128,-3.0358477,10.869676
android.sensor.accelerometer,1524464596344,11380495251558,4.280833,-4.2425256,13.081918
android.sensor.accelerometer,1524464596364,11380515243745,-2.72939,-4.912902,12.890382
android.sensor.accelerometer,1524464596384,11380535234370,-5.0661306,-6.3206925,12.105083
android.sensor.accelerometer,1524464596405,11380555224995,-9.605537,-7.5082164,11.070788
android.sensor.accelerometer,1524464596424,11380575246870,-18.47366,-7.0006456,7.97748
android.sensor.accelerometer,1524464596445,11380595237495,-27.485435,-6.339846,2.767697
android.sensor.accelerometer,1524464596465,11380615229683,-32.484528,-4.7500963,-0.22984336
android.sensor.accelerometer,1524464596484,11380635251558,-35.798103,-2.3175871,-1.0055647
