Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1524464595604,11379755243745,-0.06899287,-0.007906342,0.14016739
android.sensor.gyroscope,1524464595624,11379775234370,-0.06517059,-0.04335398,0.14152876
android.sensor.gyroscope,1524464595644,11379795224995,-0.053983033,-0.05808456,0.12980014
android.sensor.gyroscope,1524464595664,11379815246870,-0.043895032,-0.059166662,0.12653637
android.sensor.gyroscope,1524464595684,11379835239058,-0.038990654,-0.053441983,0.118350774
android.sensor.gyroscope,1524464595705,11379855229683,-0.03408628,-0.047717303,0.108524576
android.sensor.gyroscope,1524464595724,11379875251558,-0.033807028,-0.04553564,0.10934488
android.sensor.gyroscope,1524464595744,11379895243745,-0.031084314,-0.036529742,0.10770427
android.sensor.gyroscope,1524464595764,11379915232808,-0.02125811,-0.037350047,0.085887656
android.sensor.gyroscope,1524464595784,11379935224995,-0.016353736,-0.023998277,0.07253588
android.sensor.gyroscope,1524464595804,11379955246870,-0.013892821,-0.03190462,0.089448124
android.sensor.gyroscope,1524464595825,11379975237495,-0.0109083075,-0.019634955,0.08452629
android.sensor.gyroscope,1524464595844,11379995228120,-0.0035430184,-0.020996312,0.052080624
android.sensor.gyroscope,1524464595864,11380015249995,-0.0010821042,-0.008447394,0.055623643
android.sensor.gyroscope,1524464595884,11380035242183,-0.0027227136,0.011170107,0.06735226
android.sensor.gyroscope,1524464595904,11380055232808,-0.0038048178,0.00408407,0.055902895
android.sensor.gyroscope,1524464595924,11380075223433,-0.00408407,-0.00408407,0.038990654
android.sensor.gyroscope,1524464595945,11380095245308,-0.004363323,-0.00408407,0.038990654
android.sensor.gyroscope,1524464595965,11380115235933,-0.0049043754,-0.0038048178,0.038990654
android.sensor.gyroscope,1524464595984,11380135228120,-0.0046251225,0.03626794,0.057805303
android.sensor.gyroscope,1524464596004,11380155249995,0.0019024089,0.048258353,0.0286234
android.sensor.gyroscope,1524464596024,11380175240620,0.013631022,0.11588986,0.016894788
android.sensor.gyroscope,1524464596044,11380195231245,0.04335398,0.26152015,-0.019355701
android.sensor.gyroscope,1524464596065,11380215221870,0.07853982,0.5134933,-0.042533673
android.sensor.gyroscope,1524464596084,11380235243745,0.10608111,0.7780329,-0.051539574
android.sensor.gyroscope,1524464596104,11380255235933,0.13688618,1.1183721,-0.034627333
android.sensor.gyroscope,1524464596124,11380275226558,0.1521578,1.3275323,-0.0049043754
android.sensor.gyroscope,1524464596144,11380295248433,0.13552481,1.2844402,0.042533673
android.sensor.gyroscope,1524464596164,11380315240620,0.07035422,1.0474594,0.13688618
android.sensor.gyroscope,1524464596185,11380335231245,-0.12461651,0.19252726,0.33487633
android.sensor.gyroscope,1524464596204,11380355253120,-0.3122394,-0.43795547,0.6045821
android.sensor.gyroscope,1524464596224,11380375243745,-0.5175948,-0.9222843,0.96319485
android.sensor.gyroscope,1524464596244,11380395234370,-0.6932099,-1.2394456,1.3286319
android.sensor.gyroscope,1524464596264,11380415224995,-0.8181231,-1.425166,1.6384279
android.sensor.gyroscope,1524464596284,11380435248433,-0.90565133,-1.4756061,1.880854
android.sensor.gyroscope,1524464596305,11380455239058,-0.96129245,-1.4036112,2.0354903
android.sensor.gyroscope,1524464596324,11380475229683,-1.0024648,-1.207541,2.1197548
android.sensor.gyroscope,1524464596344,11380495251558,-1.0343693,-0.9312902,2.1475577
android.sensor.gyroscope,1524464596364,11380515243745,-1.0687349,-0.6149493,2.1339269
android.sensor.gyroscope,1524464596384,11380535234370,-1.1085459,-0.3155206,2.0990202
android.sensor.gyroscope,1524464596405,11380555224995,-1.1753571,-0.038990654,2.0905728
android.sensor.gyroscope,1524464596425,11380575246870,-1.2421683,0.26834437,2.0665746
android.sensor.gyroscope,1524464596445,11380595237495,-1.3204463,0.6274982,2.0163963
android.sensor.gyroscope,1524464596465,11380615229683,-1.4390763,1.0160958,1.9310323
android.sensor.gyroscope,1524464596484,11380635251558,-1.60024,1.5173368,1.8039548
android.sensor.gyroscope,1524464596504,11380655242183,-1.8333986,2.2441094,1.6635082
android.sensor.gyroscope,1524464596524,11380675232808,-2.0804849,3.1099498,1.5105126
android.sensor.gyroscope,1524464596545,11380695223433,-2.407996,3.7941713,1.4284298
android.sensor.gyroscope,1524464596564,11380715245308,-2.710985,4.2504177,1.3335363
android.sensor.gyroscope,1524464596584,11380735237495,-2.9536905,4.5160394,1.2094433
android.sensor.gyroscope,1524464596604,11380755228120,-3.1156745,4.6253843,1.0818249
android.sensor.gyroscope,1524464596624,11380775249995,-3.1154127,4.5517488,0.9577494
android.sensor.gyroscope,1524464596644,11380795240620,-3.0423183,4.4415836,0.85819584
android.sensor.gyroscope,1524464596665,11380815231245,-2.9215066,4.270053,0.7897615
android.sensor.gyroscope,1524464596684,11380835221870,-2.7750735,3.994343,0.73057735
android.sensor.gyroscope,1524464596704,11380855245308,-2.5672572,3.7333639,0.70249504
android.sensor.gyroscope,1524464596724,11380875235933,-2.3310966,3.4341972,0.6825808
android.sensor.gyroscope,1524464596744,11380895226558,-2.1172938,3.0736818,0.65393996
android.sensor.gyroscope,1524464596764,11380915248433,-1.9067723,2.7420692,0.62831855
android.sensor.gyroscope,1524464596785,11380935240620,-1.7395871,2.368726,0.5644918
android.sensor.gyroscope,1524464596804,11380955231245,-1.6280606,1.9722221,0.46277404
android.sensor.gyroscope,1524464596824,11380975253120,-1.5255225,1.4854323,0.29016098
android.sensor.gyroscope,1524464596844,11380995243745,-1.3989861,1.0005623,0.1134464
android.sensor.gyroscope,1524464596864,11381015235933,-1.2588187,0.54513615,-0.06270968
android.sensor.gyroscope,1524464596884,11381035224995,-1.1189132,0.14589207,-0.23125613
android.sensor.gyroscope,1524464596905,11381055248433,-0.98310906,-0.25579545,-0.44614106
android.sensor.gyroscope,1524464596925,11381075239058,-0.8505688,-0.69048715,-0.73275906
android.sensor.gyroscope,1524464596945,11381095229683,-0.7180284,-1.0930125,-1.0458187
android.sensor.gyroscope,1524464596965,11381115251558,-0.5966757,-1.3935232,-1.3125399
android.sensor.gyroscope,1524464596984,11381135243745,-0.51487213,-1.592613,-1.5271631
android.sensor.gyroscope,1524464597004,11381155232808,-0.47696358,-1.6965123,-1.6771393
android.sensor.gyroscope,1524464597025,11381175224995,-0.42432445,-1.6926901,-1.7401456
android.sensor.gyroscope,1524464597045,11381195246870,-0.36269686,-1.602701,-1.7395871
android.sensor.gyroscope,1524464597065,11381215237495,-0.29096383,-1.4456213,-1.6943307
android.sensor.gyroscope,1524464597085,11381235229683,-0.20916025,-1.2615415,-1.6291426
android.sensor.gyroscope,1524464597105,11381255251558,-0.11889183,-1.069276,-1.5555247
android.sensor.gyroscope,1524464597125,11381275242183,-0.027262043,-0.8669225,-1.4739829
android.sensor.gyroscope,1524464597145,11381295232808,0.06571165,-0.6577622,-1.3774313
android.sensor.gyroscope,1524464597165,11381315223433,0.16088445,-0.43577382,-1.2089024
android.sensor.gyroscope,1524464597185,11381335246870,0.23698081,-0.23343779,-1.0065489
android.sensor.gyroscope,1524464597205,11381355235933,0.31005773,-0.06244788,-0.7581187
android.sensor.gyroscope,1524464597225,11381375228120,0.38995892,0.10035643,-0.44368014
android.sensor.gyroscope,1524464597245,11381395249995,0.45268604,0.22607249,-0.12952088
android.sensor.gyroscope,1524464597265,11381415242183,0.5164953,0.34524357,0.30325097
android.sensor.gyroscope,1524464597285,11381435232808,0.58548814,0.46659634,0.86283845
android.sensor.gyroscope,1524464597305,11381455223433,0.620674,0.57267743,1.5514232
android.sensor.gyroscope,1524464597325,11381475245308,0.587408,0.63458425,2.2048395
android.sensor.gyroscope,1524464597345,11381495235933,0.50858897,0.6664889,2.7333426
android.sensor.gyroscope,1524464597365,11381515226558,0.43605307,0.6790378,3.143216
android.sensor.gyroscope,1524464597385,11381535249995,0.37278488,0.6918485,3.4292927
android.sensor.gyroscope,1524464597405,11381555240620,0.3569722,0.72213,3.555288
android.sensor.gyroscope,1524464597425,11381575231245,0.39105847,0.7641226,3.5413778
android.sensor.gyroscope,1524464597445,11381595221870,0.46823692,0.7935663,3.43774
android.sensor.gyroscope,1524464597465,11381615243745,0.5699547,0.8110196,3.2926683
android.sensor.gyroscope,1524464597485,11381635234370,0.69212776,0.82220715,3.1811244
android.sensor.gyroscope,1524464597505,11381655226558,0.8050331,0.85983646,3.1620305
android.sensor.gyroscope,1524464597525,11381675248433,0.96919876,0.8843758,3.1025846
android.sensor.gyroscope,1524464597545,11381695239058,1.2326388,0.82466805,2.9220476
android.sensor.gyroscope,1524464597565,11381715229683,1.5934157,0.6258576,2.592896
android.sensor.gyroscope,1524464597585,11381735251558,2.0106716,0.2920634,2.1339269
android.sensor.gyroscope,1524464597605,11381755243745,2.4753656,-0.17751744,1.4857116
android.sensor.gyroscope,1524464597625,11381775234370,3.1085885,-1.0450159,-0.012531464
android.sensor.gyroscope,1524464597645,11381795224995,3.6499197,-2.8416054,-3.519561
android.sensor.gyroscope,1524464597665,11381815246870,3.3090222,-4.296774,-5.8119464
android.sensor.gyroscope,1524464597685,11381835237495,2.747253,-4.9152837,-6.117379
android.sensor.gyroscope,1524464597705,11381855229683,2.293729,-5.171079,-5.8130283
android.sensor.gyroscope,1524464597725,11381875251558,1.9820307,-5.1735225,-5.241433
android.sensor.gyroscope,1524464597745,11381895242183,1.7491341,-5.0475445,-4.5951204
android.sensor.gyroscope,1524464597765,11381915232808,1.5754215,-4.8372846,-3.954253
android.sensor.gyroscope,1524464597785,11381935223433,1.4524281,-4.560755,-3.3619404
android.sensor.gyroscope,1524464597805,11381955246870,1.3777106,-4.220957,-2.852793
android.sensor.gyroscope,1524464597825,11381975237495,1.3482668,-3.7780793,-2.4363575
android.sensor.gyroscope,1524464597845,11381995228120,1.323169,-3.344208,-2.0826664
android.sensor.gyroscope,1524464597865,11382015249995,1.3078973,-2.9706028,-1.8361387
android.sensor.gyroscope,1524464597884,11382035240620,1.2882624,-2.6305254,-1.6471545
android.sensor.gyroscope,1524464597904,11382055232808,1.2593597,-2.2907445,-1.4859734
android.sensor.gyroscope,1524464597924,11382075223433,1.2228125,-1.9820307,-1.3439035
android.sensor.gyroscope,1524464597945,11382095245308,1.1709938,-1.7191494,-1.2165469
android.sensor.gyroscope,1524464597964,11382115235933,1.1159111,-1.5001628,-1.0979168
android.sensor.gyroscope,1524464597985,11382135226558,1.0572855,-1.2855397,-0.9844704
android.sensor.gyroscope,1524464598004,11382155249995,0.9994628,-1.0957352,-0.89202034
android.sensor.gyroscope,1524464598024,11382175240620,0.9443802,-0.91329587,-0.8352971
android.sensor.gyroscope,1524464598044,11382195229683,0.8917411,-0.7406654,-0.8099375
android.sensor.gyroscope,1524464598065,11382215221870,0.8502895,-0.5647711,-0.80529493
android.sensor.gyroscope,1524464598084,11382235243745,0.8077558,-0.40496874,-0.8080176
android.sensor.gyroscope,1524464598105,11382255234370,0.7548549,-0.24160592,-0.78211695
android.sensor.gyroscope,1524464598124,11382275226558,0.70603806,-0.0951728,-0.74366736
android.sensor.gyroscope,1524464598144,11382295248433,0.65285784,0.021537364,-0.69975483
android.sensor.gyroscope,1524464598164,11382315239058,0.59203315,0.09871582,-0.65530133
android.sensor.gyroscope,1524464598184,11382335229683,0.5345071,0.17097245,-0.6015801
android.sensor.gyroscope,1524464598204,11382355251558,0.482409,0.22443189,-0.5481381
android.sensor.gyroscope,1524464598225,11382375243745,0.4404164,0.2563365,-0.52031755
android.sensor.gyroscope,1524464598244,11382395234370,0.40222856,0.28415707,-0.49467868
android.sensor.gyroscope,1524464598264,11382415224995,0.36924186,0.3046123,-0.4796863
android.sensor.gyroscope,1524464598284,11382435246870,0.34278268,0.31087804,-0.47013932
android.sensor.gyroscope,1524464598304,11382455237495,0.31606168,0.30979595,-0.45540875
android.sensor.gyroscope,1524464598324,11382475229683,0.2904228,0.3005108,-0.4314105
android.sensor.gyroscope,1524464598345,11382495251558,0.2637018,0.2827957,-0.40414843
android.sensor.gyroscope,1524464598365,11382515242183,0.23888321,0.2628815,-0.37768924
android.sensor.gyroscope,1524464598384,11382535232808,0.21434389,0.23970352,-0.34524357
android.sensor.gyroscope,1524464598405,11382555224995,0.19388862,0.20179497,-0.3215071
android.sensor.gyroscope,1524464598425,11382575246870,0.17807594,0.17697638,-0.3046123
android.sensor.gyroscope,1524464598444,11382595237495,0.16879079,0.17371263,-0.29969049
android.sensor.gyroscope,1524464598465,11382615228120,0.16252506,0.218969,-0.30433306
android.sensor.gyroscope,1524464598484,11382635249995,0.14835298,0.24870941,-0.30161035
android.sensor.gyroscope,1524464598504,11382655242183,0.13252285,0.22279128,-0.26970574
android.sensor.gyroscope,1524464598524,11382675232808,0.118350774,0.19607028,-0.23670155
android.sensor.gyroscope,1524464598544,11382695223433,0.105260804,0.17235126,-0.20669934
android.sensor.gyroscope,1524464598564,11382715245308,0.097354464,0.1409877,-0.188705
android.sensor.gyroscope,1524464598585,11382735235933,0.09653416,0.10061823,-0.18488273
android.sensor.gyroscope,1524464598604,11382755228120,0.0943525,0.059707712,-0.17915805
