Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1524464867301,11651452550516,3.3327289,8.686164,-1.934515
android.sensor.accelerometer,1524464867321,11651472572391,3.371036,8.829816,-2.4995465
android.sensor.accelerometer,1524464867341,11651492563016,3.2273839,8.791509,-1.436521
android.sensor.accelerometer,1524464867361,11651512553641,3.5051112,8.743625,-0.5267244
android.sensor.accelerometer,1524464867381,11651532545829,3.9360676,8.571242,-0.24899697
android.sensor.accelerometer,1524464867401,11651552566141,3.8019924,8.571242,-0.047884032
android.sensor.accelerometer,1524464867421,11651572558329,3.3997664,8.695741,-0.05746084
android.sensor.accelerometer,1524464867441,11651592548954,3.4380736,8.6574335,-0.82360536
android.sensor.accelerometer,1524464867462,11651612570829,3.7253778,8.590396,-1.0726024
android.sensor.accelerometer,1524464867482,11651632561454,3.8594532,8.341399,-0.05746084
android.sensor.accelerometer,1524464867501,11651652553641,4.0797195,8.121132,0.29688102
android.sensor.accelerometer,1524464867521,11651672544266,3.9264908,8.552089,-0.842759
android.sensor.accelerometer,1524464867541,11651692566141,3.3423057,9.260772,-1.5035586
android.sensor.accelerometer,1524464867561,11651712556766,2.930503,10.0748005,-1.2162545
android.sensor.accelerometer,1524464867581,11651732547391,3.265691,11.224017,-0.39264908
android.sensor.accelerometer,1524464867601,11651752570829,3.9360676,12.516887,-1.1492168
android.sensor.accelerometer,1524464867621,11651772561454,4.673482,15.179238,-0.15322891
android.sensor.accelerometer,1524464867641,11651792552079,5.6407394,15.160085,0.46926352
android.sensor.accelerometer,1524464867661,11651812573954,6.5601125,14.738706,1.2545617
android.sensor.accelerometer,1524464867681,11651832564579,7.249643,14.700398,1.13964
android.sensor.accelerometer,1524464867701,11651852555204,7.5082164,13.972561,0.7757214
android.sensor.accelerometer,1524464867721,11651872547391,7.4507556,12.344504,0.16280572
android.sensor.accelerometer,1524464867742,11651892569266,6.349423,10.524911,-0.21068975
android.sensor.accelerometer,1524464867761,11651912559891,4.453215,8.293514,-0.17238252
android.sensor.accelerometer,1524464867782,11651932550516,1.436521,6.196194,-0.38307226
android.sensor.accelerometer,1524464867801,11651952572391,-1.9153614,4.501099,-0.5650316
android.sensor.accelerometer,1524464867821,11651972563016,-4.1946416,1.9057846,-0.46926352
android.sensor.accelerometer,1524464867841,11651992555204,-6.6367273,-0.19153613,-1.2545617
android.sensor.accelerometer,1524464867861,11652012545829,-9.969456,-3.5051112,-3.7541082
android.sensor.accelerometer,1524464867881,11652032567704,-14.240712,-7.5465236,-5.2768207
android.sensor.accelerometer,1524464867902,11652052558329,-18.109741,-10.5440645,-6.1100025
android.sensor.accelerometer,1524464867921,11652072550516,-20.752941,-13.043611,-3.9264908
android.sensor.accelerometer,1524464867942,11652092572391,-19.79526,-15.485697,-0.047884032
android.sensor.accelerometer,1524464867962,11652112563016,-16.309301,-16.615759,1.6376339
android.sensor.accelerometer,1524464867981,11652132553641,-10.084377,-19.249382,-0.6607997
android.sensor.accelerometer,1524464868001,11652152545829,-3.41892,-20.06341,-2.815581
android.sensor.accelerometer,1524464868022,11652172566141,3.6870706,-21.365856,-2.7006595
android.sensor.accelerometer,1524464868041,11652192556766,9.911995,-22.266075,0.11492168
android.sensor.accelerometer,1524464868061,11652212548954,14.5567465,-22.467188,2.0398598
android.sensor.accelerometer,1524464868082,11652232570829,19.086576,-22.840685,3.5434184
android.sensor.accelerometer,1524464868102,11652252563016,24.813507,-21.768082,4.7500963
android.sensor.accelerometer,1524464868122,11652272553641,32.38876,-19.76653,1.0247183
android.sensor.accelerometer,1524464868142,11652292544266,38.14442,-15.600618,0.49799395
android.sensor.accelerometer,1524464868161,11652312566141,42.042183,-12.162544,3.86903
