Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1524464857570,11641712558329,0.3196047,0.124354705,-0.0283616
android.sensor.gyroscope,1524464857583,11641732550516,0.32478833,0.11562806,-0.040352013
android.sensor.gyroscope,1524464857603,11641752572391,0.3177023,0.110444434,-0.04907866
android.sensor.gyroscope,1524464857623,11641772563016,0.3468842,0.12871803,-0.05644395
android.sensor.gyroscope,1524464857643,11641792553641,0.36896262,0.14507176,-0.056164697
android.sensor.gyroscope,1524464857663,11641812544266,0.36706018,0.12707742,-0.06270968
android.sensor.gyroscope,1524464857683,11641832566141,0.37006217,0.12543681,-0.06571165
android.sensor.gyroscope,1524464857703,11641852556766,0.39406043,0.15816173,-0.061889376
android.sensor.gyroscope,1524464857723,11641872547391,0.4172384,0.17533578,-0.063268185
android.sensor.gyroscope,1524464857743,11641892570829,0.44013712,0.20725785,-0.06489134
android.sensor.gyroscope,1524464857763,11641912561454,0.45732862,0.22471114,-0.07934267
android.sensor.gyroscope,1524464857783,11641932552079,0.46441466,0.23369959,-0.08452629
android.sensor.gyroscope,1524464857803,11641952544266,0.46659634,0.25497514,-0.08726646
android.sensor.gyroscope,1524464857823,11641972566141,0.4674166,0.2617994,-0.08888962
android.sensor.gyroscope,1524464857843,11641992556766,0.44259804,0.2563365,-0.09107128
android.sensor.gyroscope,1524464857863,11642012547391,0.3962421,0.22879522,-0.08126253
android.sensor.gyroscope,1524464857883,11642032569266,0.32887238,0.16879079,-0.07307693
android.sensor.gyroscope,1524464857903,11642052561454,0.29696777,0.14535102,-0.07962192
android.sensor.gyroscope,1524464857924,11642072552079,0.27597147,0.14398967,-0.07771951
android.sensor.gyroscope,1524464857943,11642092573954,0.28061405,0.16198401,-0.06462954
android.sensor.gyroscope,1524464857963,11642112564579,0.24514894,0.13662437,-0.05126032
android.sensor.gyroscope,1524464857983,11642132555204,0.20043361,0.08862782,-0.055623643
android.sensor.gyroscope,1524464858003,11642152547391,0.14997615,0.027803095,-0.07771951
android.sensor.gyroscope,1524464858024,11642172567704,0.13934709,0.010088003,-0.09897762
android.sensor.gyroscope,1524464858043,11642192558329,0.12161454,-0.019355701,-0.11098549
android.sensor.gyroscope,1524464858063,11642212550516,0.10143854,-0.08970992,-0.14152876
android.sensor.gyroscope,1524464858083,11642232572391,0.069533914,-0.15271631,-0.13470452
android.sensor.gyroscope,1524464858103,11642252563016,0.036808994,-0.2563365,-0.13770647
android.sensor.gyroscope,1524464858124,11642272555204,0.016353736,-0.33651695,-0.16252506
android.sensor.gyroscope,1524464858143,11642292545829,0.0027227136,-0.40086722,-0.22415264
android.sensor.gyroscope,1524464858163,11642312567704,-0.11070623,-0.620674,-0.31796408
android.sensor.gyroscope,1524464858183,11642332559891,-0.14289011,-0.7384837,-0.36596063
android.sensor.gyroscope,1524464858203,11642352550516,-0.0046251225,-0.56040776,-0.4205022
android.sensor.gyroscope,1524464858223,11642372572391,0.21134192,-0.1996133,-0.5552241
android.sensor.gyroscope,1524464858243,11642392563016,0.2920634,-0.037350047,-0.87156504
android.sensor.gyroscope,1524464858263,11642412553641,0.17671458,-0.15844099,-1.3875368
android.sensor.gyroscope,1524464858283,11642432544266,0.008988446,-0.28061405,-2.0158553
android.sensor.gyroscope,1524464858303,11642452567704,-0.13580407,-0.2928837,-2.757882
android.sensor.gyroscope,1524464858324,11642472558329,-0.18788469,-0.11861257,-3.6730978
android.sensor.gyroscope,1524464858343,11642492548954,-0.16088445,0.16606808,-5.0022707
android.sensor.gyroscope,1524464858363,11642512572391,-0.1502554,0.3815115,-6.9248557
android.sensor.gyroscope,1524464858383,11642532561454,-0.16144295,0.37306413,-9.602574
android.sensor.gyroscope,1524464858403,11642552553641,1.5184364,0.28333676,-11.166006
