Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1524464758805,11542955235933,3.5242648,8.6095495,3.1890767
android.sensor.accelerometer,1524464758824,11542975226558,3.5625722,8.619126,3.1411927
android.sensor.accelerometer,1524464758844,11542995249995,3.5051112,8.628703,3.064578
android.sensor.accelerometer,1524464758864,11543015240620,3.2848446,8.63828,3.1028855
android.sensor.accelerometer,1524464758884,11543035231245,3.2752678,8.599973,3.2082303
android.sensor.accelerometer,1524464758904,11543055221870,3.4572272,8.561666,3.2561142
android.sensor.accelerometer,1524464758924,11543075243745,3.4380736,8.580819,3.217807
android.sensor.accelerometer,1524464758944,11543095234370,3.2369606,8.676587,3.2273839
android.sensor.accelerometer,1524464758964,11543115226558,3.371036,8.6574335,3.1794999
android.sensor.accelerometer,1524464758984,11543135248433,3.5242648,8.686164,3.1028855
android.sensor.accelerometer,1524464759004,11543155240620,3.6391866,8.762778,3.2369606
android.sensor.accelerometer,1524464759024,11543175229683,3.9360676,8.896853,3.2465374
android.sensor.accelerometer,1524464759044,11543195253120,4.9416323,9.193734,3.1028855
android.sensor.accelerometer,1524464759064,11543215243745,8.034941,9.873688,3.2082303
android.sensor.accelerometer,1524464759084,11543235234370,11.999739,11.204864,5.0757074
android.sensor.accelerometer,1524464759104,11543255224995,16.51999,11.520899,6.4164605
android.sensor.accelerometer,1524464759124,11543275246870,18.483236,10.151415,7.8625584
android.sensor.accelerometer,1524464759144,11543295239058,15.370775,8.169016,10.582372
android.sensor.accelerometer,1524464759164,11543315229683,8.887277,5.353435,8.772355
android.sensor.accelerometer,1524464759184,11543335251558,1.7621324,1.0821792,4.999093
android.sensor.accelerometer,1524464759204,11543355242183,-5.21936,-3.6391866,0.61291564
android.sensor.accelerometer,1524464759224,11543375232808,-13.206416,-6.291962,-1.8195933
android.sensor.accelerometer,1524464759244,11543395223433,-23.290794,-8.159439,-2.5091233
android.sensor.accelerometer,1524464759264,11543415246870,-29.12307,-8.714894,-1.532289
android.sensor.accelerometer,1524464759284,11543435237495,-30.866049,-8.283937,2.2888567
android.sensor.accelerometer,1524464759304,11543455228120,-29.170954,-9.337387,4.5872903
android.sensor.accelerometer,1524464759324,11543475249995,-24.56451,-12.583924,3.4093432
android.sensor.accelerometer,1524464759344,11543495240620,-19.469648,-16.74026,-2.5570073
android.sensor.accelerometer,1524464759364,11543515232808,-12.449849,-21.298819,-8.226477
android.sensor.accelerometer,1524464759384,11543535223433,5.2289367,-27.303476,-4.7022123
android.sensor.accelerometer,1524464759404,11543555245308,47.376465,-22.419304,-5.8801594
android.sensor.accelerometer,1524464759424,11543575235933,63.18777,-17.132908,14.796166
android.sensor.accelerometer,1524464759444,11543595226558,48.04684,-3.122039,36.181175
android.sensor.accelerometer,1524464759464,11543615249995,41.228153,7.1251445,28.538885
android.sensor.accelerometer,1524464759484,11543635240620,41.438843,4.6830587,14.106636
android.sensor.accelerometer,1524464759504,11543655231245,32.283417,1.1779473,14.346057
android.sensor.accelerometer,1524464759524,11543675221870,22.534225,-0.7374141,8.7532015
android.sensor.accelerometer,1524464759544,11543695245308,14.097059,-2.8921957,0.59376204
android.sensor.accelerometer,1524464759564,11543715235933,7.0964136,-5.7748146,-4.865018
android.sensor.accelerometer,1524464759584,11543735226558,-0.2873042,-7.4028716,-6.244078
android.sensor.accelerometer,1524464759604,11543755248433,-5.3725886,-7.0006456,-4.9224787
android.sensor.accelerometer,1524464759624,11543775239058,-6.3781533,-7.479486,-3.572149
android.sensor.accelerometer,1524464759644,11543795229683,-7.2687964,-8.858546,-2.2218192
android.sensor.accelerometer,1524464759664,11543815253120,-11.492168,-11.463438,-1.1971009
android.sensor.accelerometer,1524464759684,11543835243745,-20.30283,-12.612655,4.8745947
android.sensor.accelerometer,1524464759704,11543855234370,-22.936453,-8.743625,12.152967
android.sensor.accelerometer,1524464759724,11543875224995,-24.823084,-4.7884035,12.4785795
android.sensor.accelerometer,1524464759744,11543895246870,-23.922863,-6.6654577,11.549629
android.sensor.accelerometer,1524464759764,11543915239058,-19.776106,-9.959879,7.479486
android.sensor.accelerometer,1524464759784,11543935229683,-12.708423,-12.545617,-2.930503
android.sensor.accelerometer,1524464759804,11543955251558,2.327164,-12.401965,-15.9262295
android.sensor.accelerometer,1524464759824,11543975242183,24.947582,-9.969456,-21.14559
android.sensor.accelerometer,1524464759844,11543995232808,46.121902,-7.9104424,-6.8569937
