Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1524464709268,11493415223433,0.12489576,-0.22142991,-0.18406242
android.sensor.gyroscope,1524464709284,11493435245308,0.11616912,-0.22389084,-0.18216002
android.sensor.gyroscope,1524464709304,11493455235933,0.12189379,-0.20725785,-0.16798794
android.sensor.gyroscope,1524464709324,11493475226558,0.12217305,-0.17889625,-0.14453071
android.sensor.gyroscope,1524464709345,11493495249995,0.12625712,-0.16388641,-0.1319818
android.sensor.gyroscope,1524464709364,11493515240620,0.11588986,-0.151896,-0.1308997
android.sensor.gyroscope,1524464709384,11493535231245,0.10197959,-0.1437104,-0.12789772
android.sensor.gyroscope,1524464709404,11493555221870,0.09489355,-0.12679817,-0.11506956
android.sensor.gyroscope,1524464709424,11493575243745,0.08398525,-0.1044405,-0.09761626
android.sensor.gyroscope,1524464709444,11493595235933,0.07035422,-0.11506956,-0.10580186
android.sensor.gyroscope,1524464709465,11493615226558,0.054262288,-0.12407546,-0.11780973
android.sensor.gyroscope,1524464709484,11493635248433,0.04117232,-0.14152876,-0.13552481
android.sensor.gyroscope,1524464709504,11493655239058,0.033527777,-0.14861478,-0.1420698
android.sensor.gyroscope,1524464709524,11493675229683,0.03544764,-0.1311615,-0.123534404
android.sensor.gyroscope,1524464709544,11493695253120,0.046896998,-0.14261085,-0.11943288
android.sensor.gyroscope,1524464709564,11493715243745,0.055902895,-0.15351915,-0.11534881
android.sensor.gyroscope,1524464709585,11493735234370,0.09053023,-0.13334316,-0.069533914
android.sensor.gyroscope,1524464709604,11493755224995,0.27351055,0.035709437,0.21488494
android.sensor.gyroscope,1524464709624,11493775246870,0.3864159,0.2159845,0.4646939
android.sensor.gyroscope,1524464709644,11493795237495,0.47260025,0.4447797,0.73466146
android.sensor.gyroscope,1524464709664,11493815229683,0.49031535,0.65530133,0.92556554
android.sensor.gyroscope,1524464709684,11493835251558,0.46631706,0.7403861,0.96019286
android.sensor.gyroscope,1524464709705,11493855242183,0.4540474,0.86283845,1.0163751
android.sensor.gyroscope,1524464709725,11493875232808,0.40877357,1.0992782,1.0831863
android.sensor.gyroscope,1524464709744,11493895224995,0.24897122,1.1830016,0.8344768
android.sensor.gyroscope,1524464709765,11493915246870,-0.027541295,1.0392737,0.25743607
android.sensor.gyroscope,1524464709784,11493935237495,-0.38205257,0.5942148,-0.587408
android.sensor.gyroscope,1524464709804,11493955228120,-0.9506459,-0.7199483,-2.004947
android.sensor.gyroscope,1524464709825,11493975249995,-1.6370491,-4.9152837,-4.819011
android.sensor.gyroscope,1524464709844,11493995242183,-1.0297443,-8.305306,-7.0385814
android.sensor.gyroscope,1524464709864,11494015232808,0.00408407,-8.186676,-7.792616
android.sensor.gyroscope,1524464709884,11494035223433,0.77747434,-7.20821,-8.171684
android.sensor.gyroscope,1524464709904,11494055245308,1.1031004,-6.40562,-8.717919
android.sensor.gyroscope,1524464709924,11494075235933,0.38477528,-7.097207,-10.381428
android.sensor.gyroscope,1524464709945,11494095226558,3.268391,7.0301166,12.832254
android.sensor.gyroscope,1524464709964,11494115249995,3.7123678,5.491242,10.245344
android.sensor.gyroscope,1524464709984,11494135240620,3.2915688,5.1200805,8.7721815
android.sensor.gyroscope,1524464710004,11494155231245,2.938698,4.6463804,7.688978
android.sensor.gyroscope,1524464710024,11494175221870,2.645797,4.1721396,6.8231378
android.sensor.gyroscope,1524464710044,11494195245308,2.4251873,3.6733596,6.142739
android.sensor.gyroscope,1524464710065,11494215235933,2.2220135,3.142954,5.630589
android.sensor.gyroscope,1524464710084,11494235226558,2.0305684,2.6673517,5.3060627
android.sensor.gyroscope,1524464710104,11494255248433,1.8470471,2.2334628,5.164534
android.sensor.gyroscope,1524464710124,11494275239058,1.659686,1.867223,5.0848947
android.sensor.gyroscope,1524464710144,11494295231245,1.4641567,1.5200596,5.016443
android.sensor.gyroscope,1524464710164,11494315253120,1.27327,1.2072617,4.907639
android.sensor.gyroscope,1524464710185,11494335243745,1.1126474,0.98392934,4.721657
android.sensor.gyroscope,1524464710204,11494355234370,1.0272833,0.9610132,4.4331365
android.sensor.gyroscope,1524464710224,11494375224995,0.9757438,0.8778308,4.0096145
android.sensor.gyroscope,1524464710245,11494395292183,0.96973985,0.8792096,3.5664582
android.sensor.gyroscope,1524464710265,11494415239058,1.0507406,0.9798278,3.0502245
android.sensor.gyroscope,1524464710285,11494435229683,1.0578266,0.8595747,2.5890737
android.sensor.gyroscope,1524464710305,11494455251558,1.0076483,0.59149206,2.1497395
android.sensor.gyroscope,1524464710325,11494475242183,0.93837625,0.2756922,1.7205107
android.sensor.gyroscope,1524464710345,11494495232808,0.86419976,-0.06843436,1.2192695
android.sensor.gyroscope,1524464710365,11494515224995,0.80883795,-0.27679175,0.74939203
android.sensor.gyroscope,1524464710385,11494535246870,0.81566215,-0.23998277,0.38587484
android.sensor.gyroscope,1524464710405,11494555237495,0.8868367,-0.02125811,0.19306833
android.sensor.gyroscope,1524464710425,11494575228120,1.0139141,0.28033477,0.13170254
android.sensor.gyroscope,1524464710445,11494595251558,1.0013827,0.39678314,0.1595231
android.sensor.gyroscope,1524464710464,11494615242183,0.8677428,0.36077702,0.17453292
android.sensor.gyroscope,1524464710484,11494635231245,0.6621255,0.26806512,0.44013712
android.sensor.gyroscope,1524464710504,11494655223433,0.45486772,0.12243485,0.6149493
android.sensor.gyroscope,1524464710524,11494675245308,0.28605947,0.0076270886,0.81238097
android.sensor.gyroscope,1524464710545,11494695235933,0.17453292,-0.03626794,1.0256428
android.sensor.gyroscope,1524464710564,11494715228120,0.10115928,-0.029443704,1.2296368
android.sensor.gyroscope,1524464710584,11494735249995,0.059707712,0.011711159,1.3744467
android.sensor.gyroscope,1524464710604,11494755240620,0.033807028,0.058346357,1.4167012
android.sensor.gyroscope,1524464710624,11494775231245,0.018256145,0.074717544,1.3613569
android.sensor.gyroscope,1524464710645,11494795223433,0.002443461,0.10416125,1.3027138
android.sensor.gyroscope,1524464710665,11494815243745,-0.0010821042,0.15461873,1.2356232
android.sensor.gyroscope,1524464710685,11494835235933,0.0046251225,0.20425588,1.1543608
android.sensor.gyroscope,1524464710705,11494855226558,0.056985,0.28033477,1.0761002
android.sensor.gyroscope,1524464710725,11494875248433,0.12789772,0.38041195,1.0210176
android.sensor.gyroscope,1524464710744,11494895240620,0.12107349,0.36077702,0.9348332
android.sensor.gyroscope,1524464710764,11494915229683,0.08044223,0.3046123,0.85138905
android.sensor.gyroscope,1524464710785,11494935253120,-0.093811445,0.035709437,0.6422114
android.sensor.gyroscope,1524464710804,11494955243745,-0.17589428,-0.19306833,0.35096827
android.sensor.gyroscope,1524464710824,11494975234370,-0.1128879,-0.25225243,0.05808456
android.sensor.gyroscope,1524464710844,11494995224995,0.04717625,-0.17779669,-0.24596925
android.sensor.gyroscope,1524464710864,11495015248433,0.208881,-0.023177972,-0.42350414
android.sensor.gyroscope,1524464710884,11495035239058,0.33215362,0.11671016,-0.46767843
android.sensor.gyroscope,1524464710905,11495055229683,0.30923745,0.13744467,-0.44177774
android.sensor.gyroscope,1524464710924,11495075253120,0.20507619,0.06298893,-0.38751546
android.sensor.gyroscope,1524464710944,11495095242183,0.040352013,-0.09162979,-0.31360075
android.sensor.gyroscope,1524464710964,11495115234370,-0.09679596,-0.23151793,-0.23561946
android.sensor.gyroscope,1524464710984,11495135224995,-0.15816173,-0.28605947,-0.15243706
android.sensor.gyroscope,1524464711004,11495155246870,-0.17697638,-0.27406904,-0.052621678
android.sensor.gyroscope,1524464711025,11495175237495,-0.13007939,-0.2380629,0.0013613568
android.sensor.gyroscope,1524464711044,11495195229683,-0.06653195,-0.20369738,0.05808456
android.sensor.gyroscope,1524464711064,11495215251558,-0.013892821,-0.16798794,0.072797686
android.sensor.gyroscope,1524464711084,11495235242183,0.007347836,-0.14753269,0.07497934
android.sensor.gyroscope,1524464711104,11495255232808,0.022619467,-0.08290314,0.042812925
android.sensor.gyroscope,1524464711124,11495275223433,0.13688618,0.06244788,-0.08208284
android.sensor.gyroscope,1524464711145,11495295246870,0.1796991,0.14261085,-0.19607028
android.sensor.gyroscope,1524464711164,11495315235933,0.16742943,0.15625933,-0.2187072
android.sensor.gyroscope,1524464711184,11495335228120,0.14861478,0.14316936,-0.2647839
android.sensor.gyroscope,1524464711204,11495355249995,0.10880382,0.1044405,-0.32450905
android.sensor.gyroscope,1524464711224,11495375240620,0.07035422,0.07199483,-0.37196457
android.sensor.gyroscope,1524464711244,11495395231245,0.06270968,0.07307693,-0.36896262
android.sensor.gyroscope,1524464711265,11495415223433,0.057264253,0.10908308,-0.3021514
android.sensor.gyroscope,1524464711284,11495435245308,0.12515756,0.3013311,0.0021816615
android.sensor.gyroscope,1524464711304,11495455235933,0.041992623,0.29888764,0.29342476
android.sensor.gyroscope,1524464711324,11495475226558,-0.18406242,0.13798574,0.6403089
android.sensor.gyroscope,1524464711344,11495495248433,-0.41942006,-0.124354705,0.8232893
android.sensor.gyroscope,1524464711364,11495515240620,-0.5099503,-0.27515116,0.86474085
android.sensor.gyroscope,1524464711385,11495535231245,-0.5023232,-0.32396802,0.8952841
android.sensor.gyroscope,1524464711404,11495555253120,-0.44069564,-0.3337942,0.8462054
android.sensor.gyroscope,1524464711424,11495575243745,-0.40605086,-0.36433747,0.79302526
android.sensor.gyroscope,1524464711444,11495595234370,-0.36950365,-0.38941786,0.7338411
android.sensor.gyroscope,1524464711464,11495615226558,-0.3122394,-0.37932986,0.6599439
android.sensor.gyroscope,1524464711484,11495635248433,-0.16362461,-0.34360296,0.35205036
android.sensor.gyroscope,1524464711505,11495655239058,-0.038990654,-0.32450905,-0.040352013
android.sensor.gyroscope,1524464711524,11495675229683,0.06517059,-0.28061405,-0.41095522
android.sensor.gyroscope,1524464711544,11495695251558,0.12679817,-0.23315853,-0.7832165
android.sensor.gyroscope,1524464711564,11495715243745,0.13988814,-0.2159845,-1.1311828
android.sensor.gyroscope,1524464711584,11495735234370,0.10934488,-0.21188296,-1.3995272
android.sensor.gyroscope,1524464711604,11495755224995,0.015271631,-0.23998277,-1.5808843
android.sensor.gyroscope,1524464711625,11495775246870,-0.15598008,-0.32997194,-1.721331
android.sensor.gyroscope,1524464711644,11495795237495,-0.3888768,-0.48813367,-1.8432248
android.sensor.gyroscope,1524464711664,11495815229683,-0.6258576,-0.65503955,-1.9471242
android.sensor.gyroscope,1524464711684,11495835251558,-0.80829686,-0.75729835,-2.0313888
android.sensor.gyroscope,1524464711704,11495855242183,-0.9307492,-0.7701265,-2.1243799
android.sensor.gyroscope,1524464711724,11495875232808,-1.0155548,-0.71040136,-2.2171092
android.sensor.gyroscope,1524464711745,11495895224995,-1.0523638,-0.5462182,-2.315825
android.sensor.gyroscope,1524464711764,11495915245308,-1.019377,-0.25987953,-2.4153612
android.sensor.gyroscope,1524464711784,11495935235933,-0.9882927,0.054803338,-2.5329092
android.sensor.gyroscope,1524464711804,11495955228120,-1.0840065,0.29832911,-2.8020563
android.sensor.gyroscope,1524464711824,11495975249995,-1.3597162,0.31742302,-3.3022153
android.sensor.gyroscope,1524464711844,11495995242183,-1.8129607,-0.014451326,-3.932157
android.sensor.gyroscope,1524464711865,11496015231245,-2.4396386,-0.72375315,-4.521485
android.sensor.gyroscope,1524464711884,11496035223433,-2.8552365,-1.421623,-4.93628
android.sensor.gyroscope,1524464711904,11496055245308,-2.9681418,-1.8271328,-5.1849895
android.sensor.gyroscope,1524464711924,11496075235933,-2.991058,-2.0922134,-5.3112464
android.sensor.gyroscope,1524464711944,11496095226558,-2.8822367,-2.2053807,-5.2578044
android.sensor.gyroscope,1524464711964,11496115249995,-2.71753,-2.2285585,-5.1165376
android.sensor.gyroscope,1524464711985,11496135240620,-2.529907,-2.1658313,-4.8956485
android.sensor.gyroscope,1524464712004,11496155231245,-2.2340214,-1.8448653,-4.501309
android.sensor.gyroscope,1524464712024,11496175221870,-1.9629369,-1.5563276,-4.1170573
android.sensor.gyroscope,1524464712044,11496195243745,-1.7376847,-1.211625,-3.6968167
android.sensor.gyroscope,1524464712064,11496215234370,-1.5358897,-0.8050331,-3.2348456
android.sensor.gyroscope,1524464712084,11496235226558,-1.3419837,-0.2555162,-2.6692543
android.sensor.gyroscope,1524464712105,11496255248433,-1.1709938,0.23916246,-2.131745
android.sensor.gyroscope,1524464712124,11496275239058,-1.053184,0.54023176,-1.732501
android.sensor.gyroscope,1524464712144,11496295229683,-0.95664984,0.76466364,-1.3957049
android.sensor.gyroscope,1524464712164,11496315253120,-0.8881981,0.91465724,-1.1191924
android.sensor.gyroscope,1524464712184,11496335243745,-0.8467465,0.9670171,-0.9187413
android.sensor.gyroscope,1524464712204,11496355234370,-0.7990292,0.99155647,-0.74338806
android.sensor.gyroscope,1524464712225,11496375224995,-0.742306,0.97246253,-0.5985781
android.sensor.gyroscope,1524464712244,11496395246870,-0.689405,0.9351125,-0.48486993
android.sensor.gyroscope,1524464712264,11496415237495,-0.6487563,0.907833,-0.37742746
android.sensor.gyroscope,1524464712284,11496435229683,-0.620674,0.85983646,-0.306794
android.sensor.gyroscope,1524464712304,11496455251558,-0.58958966,0.8502895,-0.21788691
android.sensor.gyroscope,1524464712324,11496475242183,-0.5522222,0.8208458,-0.15271631
android.sensor.gyroscope,1524464712345,11496495232808,-0.515675,0.8055742,-0.08126253
android.sensor.gyroscope,1524464712364,11496515224995,-0.4712389,0.79194313,-0.008726646
android.sensor.gyroscope,1524464712384,11496535246870,-0.42486548,0.7483099,0.033807028
android.sensor.gyroscope,1524464712404,11496555237495,-0.3806912,0.6967529,0.0659909
