Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1524466112074,12896224563016,4.5872903,-8.42759,-0.7086837
android.sensor.accelerometer,1524466112093,12896244553641,4.2521024,-8.896853,-0.62249243
android.sensor.accelerometer,1524466112113,12896264545829,3.2848446,-9.241618,0.10534488
android.sensor.accelerometer,1524466112133,12896284567704,3.6296098,-8.2169,-0.35434186
android.sensor.accelerometer,1524466112153,12896304558329,3.86903,-7.642292,-1.6663644
android.sensor.accelerometer,1524466112174,12896324548954,4.232949,-7.489063,-2.5953147
android.sensor.accelerometer,1524466112193,12896344570829,4.501099,-7.374141,-2.585738
android.sensor.accelerometer,1524466112213,12896364563016,4.596867,-7.4603324,-2.5474305
android.sensor.accelerometer,1524466112234,12896384553641,4.5298295,-7.240066,-2.6144683
android.sensor.accelerometer,1524466112254,12896404544266,5.401319,-7.28795,-2.6144683
android.sensor.accelerometer,1524466112273,12896424566141,6.129156,-7.249643,-1.8004397
android.sensor.accelerometer,1524466112293,12896444556766,5.7843914,-7.3549876,-1.283292
android.sensor.accelerometer,1524466112313,12896464547391,5.142745,-7.1347213,-1.5610195
android.sensor.accelerometer,1524466112334,12896484570829,5.1906295,-7.0964136,-2.3942018
android.sensor.accelerometer,1524466112353,12896504561454,5.171476,-7.240066,-3.1028855
android.sensor.accelerometer,1524466112373,12896524552079,4.8937483,-7.651869,-3.6008794
android.sensor.accelerometer,1524466112393,12896544573954,7.335834,-7.575254,-3.3901896
android.sensor.accelerometer,1524466112413,12896564564579,8.896853,-7.776367,-3.41892
android.sensor.accelerometer,1524466112433,12896584556766,10.572795,-6.6175733,-7.3166804
android.sensor.accelerometer,1524466112454,12896604547391,9.088389,-5.6982,-10.831368
android.sensor.accelerometer,1524466112473,12896624569266,7.345411,-5.353435,-14.78659
android.sensor.accelerometer,1524466112493,12896644559891,5.659893,-5.161899,-18.042704
android.sensor.accelerometer,1524466112513,12896664550516,5.104438,-4.7884035,-18.626888
android.sensor.accelerometer,1524466112533,12896684573954,6.8569937,-5.8226986,-17.832014
