Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1524466104674,12888824573954,-2.7349832,1.8020525,0.043895032
android.sensor.gyroscope,1524466104693,12888844564579,-2.8677855,2.3365595,-0.09817477
android.sensor.gyroscope,1524466104713,12888864555204,-3.0194197,2.9515088,-0.25007078
android.sensor.gyroscope,1524466104734,12888884545829,-3.1134927,3.4530118,-0.37414622
android.sensor.gyroscope,1524466104754,12888904569266,-3.133669,3.7723546,-0.46877798
android.sensor.gyroscope,1524466104774,12888924559891,-3.0769455,3.9228892,-0.53586847
android.sensor.gyroscope,1524466104794,12888944550516,-2.9662395,3.9327154,-0.5723982
android.sensor.gyroscope,1524466104814,12888964572391,-2.8350604,3.8825374,-0.5846853
android.sensor.gyroscope,1524466104834,12888984563016,-2.6638088,3.7480946,-0.61877155
android.sensor.gyroscope,1524466104854,12889004555204,-2.4889965,3.5446415,-0.6476742
android.sensor.gyroscope,1524466104874,12889024545829,-2.3261924,3.278217,-0.6332229
android.sensor.gyroscope,1524466104894,12889044567704,-2.1933727,2.9656808,-0.5942148
android.sensor.gyroscope,1524466104914,12889064558329,-2.0968385,2.6381698,-0.5549449
android.sensor.gyroscope,1524466104935,12889084548954,-2.0289452,2.305196,-0.5072276
android.sensor.gyroscope,1524466104955,12889104572391,-1.9558508,1.9634954,-0.4750437
android.sensor.gyroscope,1524466104975,12889124563016,-1.8830358,1.6206952,-0.4731413
android.sensor.gyroscope,1524466104995,12889144553641,-1.8042341,1.2975302,-0.4815887
android.sensor.gyroscope,1524466105015,12889164544266,-1.7436886,0.91820025,-0.49768063
android.sensor.gyroscope,1524466105034,12889184567704,-1.695151,0.44804347,-0.5230403
android.sensor.gyroscope,1524466105054,12889204556766,-1.6286017,-0.047996555,-0.59613466
android.sensor.gyroscope,1524466105074,12889224548954,-1.5312471,-0.5571265,-0.70303607
android.sensor.gyroscope,1524466105095,12889244570829,-1.4117968,-1.0875496,-0.8385609
android.sensor.gyroscope,1524466105114,12889264561454,-1.2555375,-1.6528791,-1.003285
android.sensor.gyroscope,1524466105134,12889284553641,-1.063272,-2.154382,-1.1707319
android.sensor.gyroscope,1524466105154,12889304544266,-0.84784603,-2.5552666,-1.3419837
android.sensor.gyroscope,1524466105174,12889324566141,-0.6626666,-2.7524366,-1.4619751
android.sensor.gyroscope,1524466105194,12889344556766,-0.5096885,-2.8356016,-1.5380714
android.sensor.gyroscope,1524466105214,12889364547391,-0.40114647,-2.7996128,-1.5263427
android.sensor.gyroscope,1524466105234,12889384569266,-0.3596949,-2.6406133,-1.4188828
android.sensor.gyroscope,1524466105254,12889404561454,-0.39077923,-2.3698256,-1.2266349
android.sensor.gyroscope,1524466105274,12889424552079,-0.50858897,-1.9962204,-0.9495638
android.sensor.gyroscope,1524466105294,12889444573954,-0.6858446,-1.5653335,-0.613588
android.sensor.gyroscope,1524466105314,12889464564579,-0.9708394,-0.9626538,-0.1126261
android.sensor.gyroscope,1524466105334,12889484555204,-1.3736265,-0.09707521,0.59913665
android.sensor.gyroscope,1524466105354,12889504547391,-1.7845992,0.9239249,1.3373586
android.sensor.gyroscope,1524466105374,12889524569266,-2.0013864,1.6116893,1.7534974
android.sensor.gyroscope,1524466105394,12889544559891,-2.068477,2.1001198,1.9577533
android.sensor.gyroscope,1524466105414,12889564550516,-1.9727631,2.3548157,1.906493
android.sensor.gyroscope,1524466105434,12889584572391,-1.7952282,2.4524493,1.6940515
android.sensor.gyroscope,1524466105454,12889604563016,-1.5863297,2.5318096,1.4584321
android.sensor.gyroscope,1524466105474,12889624555204,-1.3518099,2.589353,1.2522737
android.sensor.gyroscope,1524466105494,12889644545829,-1.1006396,2.694614,1.0831863
android.sensor.gyroscope,1524466105514,12889664567704,-0.8145626,2.8036969,0.9378352
android.sensor.gyroscope,1524466105534,12889684558329,-0.56286865,2.803156,0.86474085
android.sensor.gyroscope,1524466105554,12889704548954,-0.36187658,2.7019792,0.87020373
android.sensor.gyroscope,1524466105574,12889724570829,-0.19579104,2.4985435,0.96319485
android.sensor.gyroscope,1524466105594,12889744563016,-0.09979793,2.2064626,1.0747389
android.sensor.gyroscope,1524466105614,12889764553641,-0.047717303,1.853592,1.1475539
android.sensor.gyroscope,1524466105634,12889784544266,0.054803338,1.5326085,1.2069999
android.sensor.gyroscope,1524466105654,12889804566141,0.13988814,1.2078202,1.2372639
android.sensor.gyroscope,1524466105674,12889824558329,0.15652113,0.86419976,1.2078202
android.sensor.gyroscope,1524466105694,12889844548954,0.119991384,0.5590464,1.1309035
android.sensor.gyroscope,1524466105714,12889864570829,0.09707521,0.3455054,1.0482796
android.sensor.gyroscope,1524466105734,12889884563016,0.15680037,0.12407546,0.96809924
android.sensor.gyroscope,1524466105754,12889904552079,0.27597147,-0.22279128,0.8284729
android.sensor.gyroscope,1524466105774,12889924544266,0.37742746,-0.4873134,0.6664889
android.sensor.gyroscope,1524466105794,12889944566141,0.52686256,-0.74202675,0.49359655
android.sensor.gyroscope,1524466105814,12889964556766,0.6798581,-1.0741804,0.320425
android.sensor.gyroscope,1524466105834,12889984548954,0.7982089,-1.4960613,0.13034119
android.sensor.gyroscope,1524466105854,12890004569266,0.9301907,-1.9763061,-0.08834857
android.sensor.gyroscope,1524466105875,12890024561454,1.1107275,-2.5421767,-0.3220656
android.sensor.gyroscope,1524466105894,12890044552079,1.2926258,-3.0734026,-0.53613025
android.sensor.gyroscope,1524466105914,12890064573954,1.4074335,-3.4412832,-0.69595003
android.sensor.gyroscope,1524466105934,12890084566141,1.4985223,-3.79281,-0.8603775
android.sensor.gyroscope,1524466105954,12890104555204,1.566974,-4.1206,-1.0414554
android.sensor.gyroscope,1524466105974,12890124547391,1.5939744,-4.376954,-1.2094433
android.sensor.gyroscope,1524466105994,12890144569266,1.566974,-4.524487,-1.3389817
android.sensor.gyroscope,1524466106014,12890164561454,1.5312471,-4.5795693,-1.4210645
android.sensor.gyroscope,1524466106034,12890184552079,1.4963406,-4.5460243,-1.4718013
android.sensor.gyroscope,1524466106054,12890204573954,1.4644359,-4.4383025,-1.5178779
android.sensor.gyroscope,1524466106074,12890224564579,1.4393381,-4.26733,-1.5388743
android.sensor.gyroscope,1524466106094,12890244555204,1.4499847,-4.130147,-1.5552454
android.sensor.gyroscope,1524466106114,12890264545829,1.4319729,-3.9687042,-1.5715991
android.sensor.gyroscope,1524466106134,12890284567704,1.4044316,-3.812445,-1.5890524
android.sensor.gyroscope,1524466106154,12890304558329,1.415078,-3.6949143,-1.60024
android.sensor.gyroscope,1524466106174,12890324550516,1.4338927,-3.5571904,-1.5825075
android.sensor.gyroscope,1524466106194,12890344572391,1.3728062,-3.3597589,-1.5334288
android.sensor.gyroscope,1524466106214,12890364563016,1.1988143,-3.0821292,-1.4977019
android.sensor.gyroscope,1524466106234,12890384553641,0.9847322,-2.7540598,-1.4278888
android.sensor.gyroscope,1524466106254,12890404545829,0.6332229,-2.3365595,-1.2879832
android.sensor.gyroscope,1524466106274,12890424567704,-0.36950365,-1.1107275,-0.59695494
android.sensor.gyroscope,1524466106294,12890444558329,-3.3360224,4.175142,3.2825804
android.sensor.gyroscope,1524466106314,12890464548954,-4.5503874,6.253183,5.656228
android.sensor.gyroscope,1524466106334,12890484570829,-4.7781005,5.8577614,6.166178
android.sensor.gyroscope,1524466106354,12890504563016,-5.494506,5.237349,6.6766872
android.sensor.gyroscope,1524466106374,12890524552079,-6.4778943,3.7573624,6.795317
android.sensor.gyroscope,1524466106394,12890544544266,-7.190198,1.5386125,6.378079
android.sensor.gyroscope,1524466106414,12890564566141,-7.7988815,0.019896753,5.6575894
android.sensor.gyroscope,1524466106434,12890584556766,-8.524834,-0.8557524,4.668197
android.sensor.gyroscope,1524466106454,12890604548954,8.5867405,-0.93565357,3.4238298
android.sensor.gyroscope,1524466106474,12890624570829,7.9622445,-0.23752186,1.9902164
android.sensor.gyroscope,1524466106494,12890644561454,7.905242,0.88547534,0.8298342
android.sensor.gyroscope,1524466106514,12890664552079,8.252405,1.9228467,0.18380062
android.sensor.gyroscope,1524466106534,12890684573954,8.780368,2.3839977,-0.008726646
android.sensor.gyroscope,1524466106554,12890704564579,-8.545568,2.6155329,-0.01144936
android.sensor.gyroscope,1524466106574,12890724556766,-7.964426,2.7338836,0.09107128
android.sensor.gyroscope,1524466106594,12890744547391,-7.3996377,2.7887046,0.2587974
android.sensor.gyroscope,1524466106614,12890764569266,-6.896494,2.632166,0.3378783
android.sensor.gyroscope,1524466106634,12890784559891,-6.450615,2.3823745,0.36023596
android.sensor.gyroscope,1524466106654,12890804550516,-6.042644,2.2209315,0.41887903
android.sensor.gyroscope,1524466106674,12890824572391,-5.679668,2.0093102,0.5039638
android.sensor.gyroscope,1524466106694,12890844564579,-5.362786,1.7957692,0.604041
android.sensor.gyroscope,1524466106714,12890864555204,-5.075627,1.6016014,0.6233967
android.sensor.gyroscope,1524466106734,12890884545829,-4.7936516,1.4996043,0.5999569
android.sensor.gyroscope,1524466106754,12890904567704,-4.5176625,1.3916209,0.48895398
android.sensor.gyroscope,1524466106774,12890924558329,-4.2504177,1.1767185,0.31988394
android.sensor.gyroscope,1524466106794,12890944550516,-3.9981654,0.93701494,0.14697418
android.sensor.gyroscope,1524466106814,12890964572391,-3.7110064,0.66484827,-0.18270107
android.sensor.gyroscope,1524466106834,12890984563016,-3.4565547,0.49631926,-0.41669735
android.sensor.gyroscope,1524466106854,12891004555204,-3.2569416,0.44395941,-0.4595103
android.sensor.gyroscope,1524466106874,12891024545829,-3.0635939,0.33433527,-0.515675
android.sensor.gyroscope,1524466106894,12891044567704,-2.8451486,0.22197098,-0.6523168
android.sensor.gyroscope,1524466106914,12891064558329,-2.6378906,0.14889404,-0.7834783
android.sensor.gyroscope,1524466106934,12891084548954,-2.4336348,0.092170835,-0.8996474
android.sensor.gyroscope,1524466106954,12891104570829,-2.2321017,0.051539574,-1.0103711
android.sensor.gyroscope,1524466106974,12891124561454,-2.0469396,0.014992379,-1.0782819
android.sensor.gyroscope,1524466106994,12891144552079,-1.8715863,-0.0049043754,-1.0782819
android.sensor.gyroscope,1524466107014,12891164544266,-1.7128661,-0.0046251225,-1.0471976
android.sensor.gyroscope,1524466107034,12891184566141,-1.5715991,-0.002984513,-1.009289
android.sensor.gyroscope,1524466107054,12891204556766,-1.4494262,0.0049043754,-0.92800903
android.sensor.gyroscope,1524466107074,12891224547391,-1.329714,0.0032637657,-0.8175646
android.sensor.gyroscope,1524466107094,12891244570829,-1.2258146,-0.0019024089,-0.68612385
android.sensor.gyroscope,1524466107114,12891264561454,-1.1262784,-0.007347836,-0.56831414
android.sensor.gyroscope,1524466107134,12891284552079,-1.0373714,-2.6179937E-4,-0.43441245
android.sensor.gyroscope,1524466107154,12891304542704,-0.947644,0.014172073,-0.35096827
android.sensor.gyroscope,1524466107174,12891324564579,-0.8603775,0.030264009,-0.28852037
android.sensor.gyroscope,1524466107194,12891344555204,-0.7793942,0.049898963,-0.25415483
android.sensor.gyroscope,1524466107214,12891364547391,-0.70385635,0.07497934,-0.22225022
android.sensor.gyroscope,1524466107234,12891384569266,-0.6403089,0.10035643,-0.19306833
android.sensor.gyroscope,1524466107254,12891404559891,-0.5819451,0.12407546,-0.16388641
android.sensor.gyroscope,1524466107274,12891424552079,-0.5274036,0.15271631,-0.12189379
android.sensor.gyroscope,1524466107294,12891444573954,-0.47804567,0.17725565,-0.10007718
android.sensor.gyroscope,1524466107314,12891464564579,-0.43605307,0.19989257,-0.08316494
android.sensor.gyroscope,1524466107334,12891484555204,-0.41177553,0.21024236,-0.0286234
android.sensor.gyroscope,1524466107354,12891504545829,-0.39596283,0.2077989,0.047438048
android.sensor.gyroscope,1524466107374,12891524567704,-0.3815115,0.20369738,0.11316715
android.sensor.gyroscope,1524466107394,12891544558329,-0.36295867,0.18652333,0.15762068
android.sensor.gyroscope,1524466107414,12891564550516,-0.34796628,0.17235126,0.21270327
android.sensor.gyroscope,1524466107434,12891584572391,-0.3231477,0.15598008,0.24324654
android.sensor.gyroscope,1524466107454,12891604563016,-0.30187213,0.14779449,0.26914722
android.sensor.gyroscope,1524466107474,12891624553641,-0.27925268,0.141808,0.2931455
android.sensor.gyroscope,1524466107493,12891644545829,-0.25687757,0.13526301,0.3119776
android.sensor.gyroscope,1524466107514,12891664567704,-0.22961551,0.13606587,0.32532936
android.sensor.gyroscope,1524466107534,12891684558329,-0.2061583,0.13634512,0.3386986
android.sensor.gyroscope,1524466107554,12891704548954,-0.18570304,0.13744467,0.35178855
